Time_ps,V1_mag,V2_mag,V1_x,V1_y,V1_z,V2_x,V2_y,V2_z,R_distance
2.892,5.390427704046749,5.286413305768042,-5.1372066742,-1.6037036619,-0.30651750997,-0.31725768573,-5.2316750773,0.68926706421,26.15880852038963
2.893,5.388133065079803,5.281019010114339,-5.1348660968,-1.6029806331,-0.3091620689,-0.31651890007,-5.225747227,0.69321244261,26.160532867817352
2.894,5.385787870664766,5.275588107065349,-5.1324775961,-1.6022333973,-0.31182183039,-0.31578226284,-5.2197686468,0.6972278765,26.162264536961676
2.895,5.383389708721955,5.270080590082899,-5.1300413671,-1.6014544369,-0.31449008625,-0.31506134807,-5.2137000834,0.70129680826,26.164003596523568
2.896,5.3809279814505135,5.264517070600109,-5.1275453632,-1.6006475229,-0.31716241473,-0.31434712342,-5.2075633259,0.70541482787,26.165750082226534
2.897,5.378406636401792,5.2588989843733565,-5.1249903427,-1.5998217761,-0.31984717982,-0.31364364585,-5.2013581696,0.70959099684,26.16750404470359
2.898,5.375820101766052,5.253258135925174,-5.1223718364,-1.5989737818,-0.32253896094,-0.31294675679,-5.1951163911,0.71382844788,26.16926553954376
2.899,5.373158594081044,5.247619803819109,-5.1196772315,-1.5981105929,-0.32523968895,-0.31226322235,-5.1888625073,0.71813032643,26.171034624379963
2.9,5.37041681859927,5.241963325786099,-5.1169017098,-1.5972282102,-0.32795692138,-0.31159141582,-5.1825772779,0.72248394935,26.17281135921626
2.901,5.367597430053976,5.2362569181158065,-5.1140466866,-1.5963317796,-0.33068641919,-0.31091804022,-5.1762259395,0.7269123111,26.174595802824538
2.902,5.3647163873215415,5.230476863989313,-5.1111266188,-1.5954266536,-0.33343724443,-0.3102539743,-5.1697835451,0.73141560892,26.17638803045964
2.903,5.361795833973064,5.224624504101025,-5.1081679987,-1.5945037622,-0.33620234175,-0.30959592488,-5.1632529807,0.73598249262,26.17818811704489
2.904,5.358836403365884,5.218711168984677,-5.1051708025,-1.5935664423,-0.33897591259,-0.30892243654,-5.156646526,0.74061447419,26.17999611969527
2.905,5.355826787797792,5.212751771605599,-5.102119935,-1.5926225128,-0.3417693396,-0.3082386053,-5.1499808211,0.74529694544,26.181812100633472
2.906,5.352744321788121,5.206735897222469,-5.09899405,-1.5916616991,-0.34459322123,-0.30755493606,-5.1432453811,0.75002374264,26.183636115456494
2.907,5.349585808698958,5.200643211426322,-5.0957895284,-1.5906844037,-0.34744860729,-0.30686853751,-5.136418539,0.75480203064,26.185468226071787
