Time_ps,V1_mag,V2_mag,V1_x,V1_y,V1_z,V2_x,V2_y,V2_z,R_distance,X1,Y1,Z1,X2,Y2,Z2
6.64,2.8599462442935533,2.83689487979284,-0.26859587235,0.44590943317,-2.8121723907,-0.21346288724,0.099551240016,2.8271002291,51.87390013063532,-0.27880979175,1.0047158078,-25.807808242,-0.47636907164,0.36846502236,26.0618136
6.641,2.8602056633266537,2.8359925734916875,-0.26864095835,0.44579826741,-2.8124495332,-0.21340759845,0.099470624998,2.8262018096,51.87954266721285,-0.27907840985,1.0051616621,-25.810620553,-0.47658250651,0.36856453346,26.064640252
6.642,2.8604677058463164,2.8350780498393413,-0.26868978423,0.44568556152,-2.812729222,-0.21335738408,0.099386187208,2.8252908808,51.88518457768756,-0.27934707497,1.0056074038,-25.813433142,-0.4767958885,0.36866396194,26.067465999
6.643,2.8607329045831307,2.834162684387071,-0.2687414663,0.44557503012,-2.8130114945,-0.21330891017,0.099302760373,2.8243789392,51.89082585809516,-0.27961579019,1.0060530341,-25.816246012,-0.47700922175,0.36876330641,26.070290834
6.644,2.8610026442831145,2.833251812315089,-0.26879757573,0.44546560858,-2.8132977776,-0.213259213,0.09922082062,2.8234715456,51.8964665144215,-0.27988455934,1.0064985543,-25.819059167,-0.47722250586,0.36886256794,26.073114759
6.645,2.861272708193463,2.832342772574073,-0.26885517654,0.44535347142,-2.8135846691,-0.2132133076,0.099140371062,2.8225656509,51.902106550625334,-0.28015338566,1.006943964,-25.821872608,-0.47743574159,0.36896174866,26.075937777
6.646,2.861539715081316,2.8314332092771126,-0.26891648567,0.44524051023,-2.8138682188,-0.21317132518,0.09906065473,2.8216589077,51.907745968687266,-0.28042227118,1.007389261,-25.824686335,-0.47764893372,0.36906084875,26.07875989
6.647,2.8618050537834008,2.8305213959041287,-0.26898223568,0.4451302694,-2.8141492082,-0.21313298138,0.098986379625,2.8207494397,51.91338476056854,-0.28069122018,1.0078344461,-25.827500344,-0.47786208557,0.36915987188,26.081581094
6.648,2.8620686954826007,2.829607854493849,-0.26905105248,0.44502223893,-2.8144278203,-0.21309713417,0.098914497634,2.8198379641,51.919022922251635,-0.28096023667,1.0082795222,-25.830314632,-0.4780752005,0.36925882216,26.084401388
6.649,2.862332981957111,2.828692273363535,-0.26912098187,0.44491242691,-2.8147072546,-0.21306294311,0.098845481347,2.8189242151,51.92466045171406,-0.28122932242,1.0087244899,-25.8331292,-0.47828828026,0.36935770198,26.087220769
6.65,2.862595843336929,2.827773531897968,-0.269196398,0.44480147172,-2.8149848867,-0.21303117303,0.098778452951,2.8180070412,51.930297345891276,-0.28149848066,1.0091693467,-25.835944046,-0.47850132708,0.36945651375,26.090039236
6.651,2.862857368085545,2.8268514163388745,-0.26927610714,0.44469471084,-2.8152600772,-0.21300405966,0.098713153476,2.8170860679,51.935933596773985,-0.28176771673,1.0096140943,-25.838759169,-0.4787143442,0.36955525928,26.092856782
6.652,2.863115483713252,2.825926914798106,-0.269357635,0.44459057912,-2.8155312029,-0.21297962134,0.098652901427,2.8161623202,51.94156920038056,-0.28203703351,1.0100587371,-25.841574565,-0.47892733597,0.36965394191,26.095673407
6.653,2.863371412539688,2.82499752220693,-0.26944193263,0.44448510541,-2.815800043,-0.21295724516,0.098595969906,2.8152333912,51.94720414665044,-0.28230643294,1.0105032748,-25.84439023,-0.47914030423,0.36975256624,26.098489105
6.654,2.863630376497944,2.824065716368944,-0.26952831558,0.44438181877,-2.8160714159,-0.21293935879,0.098540564839,2.8143016464,51.952838434567546,-0.28257591798,1.0109477082,-25.847206166,-0.47935325199,0.36985113434,26.101303873
6.655,2.8638899790255357,2.8231273073794787,-0.26961513123,0.44428013119,-2.8163431357,-0.21292539218,0.098485574229,2.8133629632,51.958472060149106,-0.28284548948,1.0113920389,-25.850022374,-0.47956618432,0.36994964768,26.104117706
6.656,2.864143511621712,2.8221831225406,-0.26970395275,0.4441808775,-2.8166080986,-0.21291383218,0.098430831581,2.8124182919,51.96410501143909,-0.28311514882,1.0118362693,-25.85283885,-0.4797791036,0.37004810543,26.106930596
6.657,2.86439175047234,2.821238809452583,-0.26979629444,0.44408580128,-2.8168666743,-0.21290639822,0.098380476047,2.8114730245,51.9697372814302,-0.28338489872,1.0122804019,-25.855655588,-0.47999201358,0.37014651099,26.109742542
6.658,2.86464028381579,2.820292087520918,-0.26989396049,0.44399713392,-2.8171240212,-0.21289976349,0.098328116277,2.8105253479,51.97536886318428,-0.2836547434,1.0127244434,-25.858472583,-0.48020491661,0.37024486548,26.112553542
6.659,2.864884077632113,2.819344021501345,-0.26999402381,0.4439071043,-2.8173765258,-0.21289379422,0.098278168775,2.8095761861,51.98099975171303,-0.28392468739,1.0131683953,-25.861289834,-0.48041781336,0.37034316826,26.115363592
6.66,2.8651260577010924,2.818397159991625,-0.27009269788,0.44382391199,-2.8176262343,-0.21289057872,0.098232124901,2.8086278861,51.98662994300834,-0.28419473092,1.0136122604,-25.864107335,-0.4806307053,0.37044142315,26.118172694
6.661,2.865366632733309,2.817446878003473,-0.27018960935,0.44374181338,-2.8178745036,-0.21289006939,0.098184874189,2.807675989,51.99225943612191,-0.28446487198,1.0140560432,-25.866925086,-0.48084359538,0.37053963195,26.120980847
6.662,2.86560608758327,2.8164880844754876,-0.27028835058,0.44366401054,-2.818120775,-0.21289247418,0.098135269588,2.8067154101,51.997888220121396,-0.28473511084,1.0144997457,-25.869743084,-0.48105648646,0.37063779202,26.123788043
6.663,2.8658420106975497,2.8155223057931713,-0.27039047723,0.443588122,-2.8183628223,-0.21289614202,0.098088144236,2.8057476371,52.00351628505132,-0.2850054498,1.0149433717,-25.872561326,-0.48126938069,0.37073590355,26.126594275
6.664,2.8660745491974042,2.8145532753769533,-0.27049782726,0.44351670825,-2.8186002158,-0.21290154436,0.098042320556,2.8047764217,52.009143621901316,-0.28527589356,1.0153869236,-25.875379808,-0.48148227946,0.3708339688,26.129399538
6.665,2.8663022980389896,2.8135782950154353,-0.27060597937,0.44344752554,-2.8188323043,-0.21290911029,0.09799806298,2.8037990143,52.0147702197059,-0.28554644565,1.0158304057,-25.878198525,-0.48169518463,0.37093198882,26.132203826
6.666,2.866524689528654,2.8125994158967274,-0.27071330493,0.4433794985,-2.8190588363,-0.21291828843,0.097955203288,2.8028175208,52.020396067470514,-0.28581710509,1.0162738192,-25.881017471,-0.48190809807,0.37102996529,26.135007134
6.667,2.8667380983072546,2.811622399713889,-0.27082341529,0.44331061591,-2.819276095,-0.21292983876,0.097913870223,2.8018376606,52.02602115818125,-0.28608787335,1.0167171643,-25.883836639,-0.48212102197,0.37112789977,26.137809462
6.668,2.866941547659164,2.810641072065182,-0.27093283424,0.443241893,-2.8194832614,-0.21294451541,0.097873654247,2.8008531945,52.03164548082112,-0.28635875121,1.0171604404,-25.88665602,-0.48233395881,0.37122579359,26.140610808
6.669,2.867141474425185,2.809649044272799,-0.27104488165,0.44317824355,-2.8196857894,-0.2129610057,0.097831101041,2.7998579317,52.03726901743724,-0.28662973997,1.0176036501,-25.889475604,-0.48254691158,0.37132364616,26.143411164
6.67,2.867336117527203,2.808651056816218,-0.27115949805,0.44311365754,-2.8198828387,-0.21297849321,0.097787224261,2.7988566557,52.04289175808608,-0.28690084192,1.0180467962,-25.892295389,-0.48275988126,0.37142145538,26.146210522
6.671,2.8675209843243805,2.807647431529646,-0.27127505321,0.44304861593,-2.820069922,-0.21299758986,0.097741451894,2.7978496627,52.048513688764515,-0.28717205926,1.0184898774,-25.895115367,-0.48297286911,0.37151921999,26.149008876
6.672,2.8676976517601145,2.8066410703899813,-0.27139078726,0.44298380382,-2.8202486082,-0.21301624798,0.097695563837,2.7968399584,52.05413479149707,-0.28744339204,1.0189328936,-25.897935526,-0.48318587613,0.37161693831,26.15180622
