t_ps,v_spline_Aps,F_drag_amuAps2
2.806,4.846065659603731,334.63763643353207
2.807,4.845426717548943,334.62030423426
2.808,4.844787772721301,334.6028546907023
2.809,4.8441488251307225,334.5852881256294
2.81,4.843509874787112,334.567604797858
2.811,4.8428709217003885,334.5498050242416
2.812,4.842231965880458,334.5318890411854
2.813,4.841593007337233,334.5138569060722
2.814,4.8409540460806255,334.4957088830299
2.815,4.840315082120551,334.47744532869194
2.816,4.839676115466916,334.45906679358995
2.817,4.839037146129632,334.44057390070736
2.818,4.838398174118616,334.4219669341773
2.819,4.8377591994437745,334.40324624004575
2.82,4.83712022211502,334.38441215064336
2.821,4.836481242142266,334.36546500153065
2.822,4.835842259535421,334.34640499742756
2.823,4.8352032743044004,334.32723270697113
2.824,4.8345642864591145,334.30794867622365
2.825,4.833925296009473,334.2885532486997
2.826,4.833286302965389,334.2690469150334
2.827,4.832647307336774,334.24943026264623
2.828,4.83200830913354,334.2297038379323
2.829,4.831369308365597,334.20986817951666
2.83,4.830730305042858,334.1899238741716
2.831,4.830091299175235,334.16987149728914
2.832,4.829452290772639,334.14971177566974
2.833,4.828813279844982,334.12944527034847
2.834,4.828174266402176,334.10907253410664
2.835,4.827535250454129,334.0885941397789
2.836,4.826896232010758,334.06801045126724
2.837,4.82625721108197,334.0473216503515
2.838,4.82561818767768,334.02652804268837
2.839,4.824979161807797,334.0056300915221
2.84,4.824340133482235,333.98462817723754
2.841,4.823701102710904,333.96352267828047
2.842,4.823062069503714,333.94231412387603
2.843,4.822423033870582,333.92100259795967
2.844,4.8217839958214155,333.8995881810075
2.845,4.821144955366126,333.87807108806714
2.846,4.820505912514626,333.85645163617966
2.847,4.819866867276827,333.8347303954555
2.848,4.819227819662641,333.81290760857286
2.849,4.8185887696819805,333.7909834225437
2.85,4.817949717344754,333.7689577135501
2.851,4.817310662660874,333.7468307293582
2.852,4.816671605640255,333.7246026589501
2.853,4.8160325462928055,333.70227356591965
2.854,4.81539348462844,333.67984368358293
2.855,4.814754420657067,333.65731334193663
2.856,4.8141153543885995,333.63468281131816
2.857,4.813476285832949,333.61195226259053
2.858,4.812837215000026,333.5891219592985
2.859,4.812198141899747,333.56619225384867
2.86,4.811559066542018,333.54316336098054
2.861,4.810919988936751,333.520035512324
2.862,4.810280909093861,333.49680913014345
2.863,4.809641827023258,333.4734847191002
2.864,4.809002742734853,333.4500626481489
2.865,4.808363656238557,333.4265429410369
2.866,4.807724567544282,333.4029255936764
2.867,4.807085476661942,333.37921078456077
2.868,4.806446383601445,333.35539857996525
2.869,4.805807288372706,333.3314890179503
2.87,4.805168190985634,333.3074821183211
2.871,4.80452909145014,333.283377634311
2.872,4.803889989776141,333.25917538676185
2.873,4.803250885973542,333.2348751604934
2.874,4.802611780052259,333.2104765603627
2.875,4.801972672022201,333.1859791697668
2.876,4.80133356189328,333.161382572691
2.877,4.800694449675408,333.1366861422102
2.878,4.800055335378499,333.1118894429954
2.879,4.79941621901246,333.08699193393164
2.88,4.7987771005872055,333.06199290179563
2.881,4.7981379801126485,333.0368917109299
2.882,4.797498857598698,333.0116879389483
2.883,4.796859733055264,332.98638108218097
2.884,4.7962206064922634,332.96097054764095
2.885,4.795581477919603,332.9354554285601
2.886,4.794942347347196,332.9098350500308
2.887,4.7943032147849545,332.88410873598286
2.888,4.793664080242791,332.85827599634524
2.889,4.793024943730615,332.8323361284388
2.89,4.7923858052583395,332.806288624519
2.891,4.791746664835876,332.780132911301
2.892,4.791107522473135,332.75386811957344
2.893,4.790468378180029,332.72749374683895
2.894,4.78982923196647,332.70100904140645
2.895,4.789190083842369,332.67441300371274
2.896,4.788550933817636,332.64770514681436
2.897,4.787911781902188,332.62088475325277
2.898,4.787272628105928,332.59395102961963
2.899,4.786633472438776,332.56690315178236
2.9,4.78599431491064,332.5397402598518
2.901,4.785355155531431,332.51246151406133
2.902,4.78471599431106,332.48506582030836
2.903,4.784076831259441,332.45755209086417
2.904,4.783437666386485,332.42991951501983
2.905,4.782798499702103,332.4021672040102
2.906,4.782159331216206,332.3742943727283
2.907,4.781520160938707,332.34630013942484
2.908,4.780880988879517,332.3181835786646
2.909,4.780241815048547,332.2899438705114
2.91,4.779602639455709,332.26158029408055
2.911,4.778963462110917,332.233092141215
2.912,4.778324283024077,332.2044786790634
2.913,4.777685102205107,332.1757388189086
2.914,4.777045919663912,332.14687178084887
2.915,4.776406735410411,332.117877215351
2.916,4.775767549454509,332.08875456539374
2.917,4.7751283618061215,332.0595032171309
2.918,4.774489172475159,332.0301226383098
2.919,4.7738499814715345,332.0006122815824
2.92,4.773210788805156,331.9709712048226
2.921,4.772571594485938,331.9411989651688
2.922,4.7719323985237905,331.9112950532851
2.923,4.771293200928628,331.8812589048588
2.924,4.7706540017103585,331.8510896368624
2.925,4.770014800878896,331.8207865182776
2.926,4.76937559844415,331.7903490043298
2.927,4.7687363944160355,331.75977634843184
2.928,4.768097188804461,331.7290674627417
2.929,4.767457981619339,331.6982215694725
2.93,4.7668187728705815,331.66723793601864
2.931,4.7661795625681,331.63611549058425
2.932,4.765540350721806,331.6048531660575
2.933,4.76490113734161,331.57344992519745
2.934,4.764261922437425,331.5419046903986
2.935,4.763622706019164,331.5102168741079
2.936,4.762983488096736,331.4783853941922
2.937,4.762344268680054,331.4464091248782
2.938,4.761705047779027,331.41428734077977
2.939,4.76106582540357,331.3820192603066
2.94,4.7604266015635925,331.3496039206176
2.941,4.759787376269008,331.31704071286424
2.942,4.759148149529727,331.2843287862207
2.943,4.75850892135566,331.25146734054044
2.944,4.75786969175672,331.2184558124768
2.945,4.75723046074282,331.18529301356295
2.946,4.7565912283238685,331.15197815800633
2.947,4.755951994509777,331.11851027867067
2.948,4.7553127593104625,331.08488875587943
2.949,4.75467352273583,331.0511128813266
2.95,4.754034284795793,331.017182210544
2.951,4.753395045500265,330.983096279893
2.952,4.752755804859159,330.9488546792211
2.953,4.752116562882382,330.91445679214735
2.954,4.7514773195798465,330.87990207354807
2.955,4.750838074961467,330.8451896279556
2.956,4.750198829037154,330.81031859420597
2.957,4.7495595818168175,330.7752883271856
2.958,4.7489203333103704,330.7400980231931
2.959,4.748281083527725,330.70474683543733
2.96,4.747641832478791,330.6692339529769
2.961,4.747002580173481,330.63355875562866
2.962,4.746363326621706,330.59772060701175
2.963,4.745724071833378,330.5617185959551
2.964,4.745084815818411,330.52555177630984
2.965,4.744445558586714,330.4892198411462
2.966,4.743806300148196,330.4527219155872
2.967,4.743167040512774,330.4160570775524
2.968,4.7425277796903575,330.3792248957759
2.969,4.741888517690858,330.3422251167272
2.97,4.741249254524186,330.3050575782049
2.971,4.740609990200254,330.2677219950938
