# Tier-0 MD ensemble-mean trajectory. run=9A_drag_percase_linear_cubic_N50, N=50, ion_steps=3000, window=[2.67,14.081] ps, m_eff=202.953908 amu.
# time_ps,mean_distance_A,mean_speed_I1_Aps,mean_speed_I2_Aps
1.584999999999970655e+01,1.187571983049265754e+02,3.021645927929165421e+00,3.021645927929165421e+00
1.585999999999970633e+01,1.188176358308065090e+02,3.022106514746314865e+00,3.022106514746314865e+00
1.586999999999970612e+01,1.188780825658145517e+02,3.022566840244151010e+00,3.022566840244151010e+00
1.587999999999970591e+01,1.189385385047117438e+02,3.023026903159834688e+00,3.023026903159834688e+00
1.588999999999970569e+01,1.189990036422337880e+02,3.023486702243034951e+00,3.023486702243034951e+00
1.589999999999970548e+01,1.190594779730917310e+02,3.023946236255846909e+00,3.023946236255846909e+00
1.590999999999970527e+01,1.191199614919717646e+02,3.024405503972728226e+00,3.024405503972728226e+00
1.591999999999970505e+01,1.191804541935357662e+02,3.024864504180452052e+00,3.024864504180452052e+00
1.592999999999970484e+01,1.192409560724215964e+02,3.025323235678000433e+00,3.025323235678000433e+00
1.593999999999970463e+01,1.193014671232429862e+02,3.025781697276522575e+00,3.025781697276522575e+00
1.594999999999970441e+01,1.193619873405902467e+02,3.026239887799255790e+00,3.026239887799255790e+00
1.595999999999970420e+01,1.194225167190300994e+02,3.026697806081463771e+00,3.026697806081463771e+00
1.596999999999970399e+01,1.194830552531062153e+02,3.027155450970361539e+00,3.027155450970361539e+00
1.597999999999970377e+01,1.195436029373391449e+02,3.027612821325056824e+00,3.027612821325056824e+00
1.598999999999970356e+01,1.196041597662270419e+02,3.028069916016469243e+00,3.028069916016469243e+00
1.599999999999970335e+01,1.196647257342452235e+02,3.028526733927275671e+00,3.028526733927275671e+00
1.600999999999970314e+01,1.197253008358471504e+02,3.028983273951834754e+00,3.028983273951834754e+00
1.601999999999970470e+01,1.197858850654640150e+02,3.029439534996119399e+00,3.029439534996119399e+00
1.602999999999970626e+01,1.198464784175053666e+02,3.029895515977664378e+00,3.029895515977664378e+00
1.603999999999970782e+01,1.199070808863591253e+02,3.030351215825473510e+00,3.030351215825473510e+00
1.604999999999970939e+01,1.199676924663920374e+02,3.030806633479973478e+00,3.030806633479973478e+00
1.605999999999971095e+01,1.200283131519497886e+02,3.031261767892942771e+00,3.031261767892942771e+00
1.606999999999971251e+01,1.200889429373569754e+02,3.031716618027441079e+00,3.031716618027441079e+00
1.607999999999971408e+01,1.201495818169178023e+02,3.032171182857739566e+00,3.032171182857739566e+00
1.608999999999971564e+01,1.202102297849159243e+02,3.032625461369271580e+00,3.032625461369271580e+00
1.609999999999971720e+01,1.202708868356149452e+02,3.033079452558549605e+00,3.033079452558549605e+00
1.610999999999971877e+01,1.203315529632584884e+02,3.033533155433108863e+00,3.033533155433108863e+00
1.611999999999972033e+01,1.203922281620704098e+02,3.033986569011444256e+00,3.033986569011444256e+00
1.612999999999972189e+01,1.204529124262548265e+02,3.034439692322930426e+00,3.034439692322930426e+00
1.613999999999972346e+01,1.205136057499970264e+02,3.034892524407769798e+00,3.034892524407769798e+00
1.614999999999972502e+01,1.205743081274627855e+02,3.035345064316925523e+00,3.035345064316925523e+00
1.615999999999972658e+01,1.206350195527991644e+02,3.035797311112052199e+00,3.035797311112052199e+00
1.616999999999972815e+01,1.206957400201346928e+02,3.036249263865439474e+00,3.036249263865439474e+00
1.617999999999972971e+01,1.207564695235790708e+02,3.036700921659937435e+00,3.036700921659937435e+00
1.618999999999973127e+01,1.208172080572242919e+02,3.037152283588909096e+00,3.037152283588909096e+00
1.619999999999973284e+01,1.208779556151438754e+02,3.037603348756142463e+00,3.037603348756142463e+00
1.620999999999973440e+01,1.209387121913936625e+02,3.038054116275797689e+00,3.038054116275797689e+00
1.621999999999973596e+01,1.209994777800120431e+02,3.038504585272350678e+00,3.038504585272350678e+00
1.622999999999973753e+01,1.210602523750197292e+02,3.038954754880531350e+00,3.038954754880531350e+00
1.623999999999973909e+01,1.211210359704204222e+02,3.039404624245246822e+00,3.039404624245246822e+00
1.624999999999974065e+01,1.211818285602007563e+02,3.039854192521528997e+00,3.039854192521528997e+00
1.625999999999974222e+01,1.212426301383305258e+02,3.040303458874462184e+00,3.040303458874462184e+00
1.626999999999974378e+01,1.213034406987630405e+02,3.040752422479121364e+00,3.040752422479121364e+00
1.627999999999974534e+01,1.213642602354350970e+02,3.041201082520527343e+00,3.041201082520527343e+00
1.628999999999974690e+01,1.214250887422674055e+02,3.041649438193577915e+00,3.041649438193577915e+00
1.629999999999974847e+01,1.214859262131644613e+02,3.042097488702957708e+00,3.042097488702957708e+00
1.630999999999975003e+01,1.215467726420151990e+02,3.042545233263109772e+00,3.042545233263109772e+00
1.631999999999975159e+01,1.216076280226928787e+02,3.042992671098163626e+00,3.042992671098163626e+00
1.632999999999975316e+01,1.216684923490551711e+02,3.043439801441874870e+00,3.043439801441874870e+00
1.633999999999975472e+01,1.217293656149447258e+02,3.043886623537552349e+00,3.043886623537552349e+00
1.634999999999975628e+01,1.217902478141890583e+02,3.044333136638025294e+00,3.044333136638025294e+00
1.635999999999975785e+01,1.218511389406008476e+02,3.044779340005550949e+00,3.044779340005550949e+00
1.636999999999975941e+01,1.219120389879780646e+02,3.045225232911767943e+00,3.045225232911767943e+00
1.637999999999976097e+01,1.219729479501043414e+02,3.045670814637639445e+00,3.045670814637639445e+00
1.638999999999976254e+01,1.220338658207488578e+02,3.046116084473386998e+00,3.046116084473386998e+00
1.639999999999976410e+01,1.220947925936668099e+02,3.046561041718435003e+00,3.046561041718435003e+00
1.640999999999976566e+01,1.221557282625993821e+02,3.047005685681343223e+00,3.047005685681343223e+00
1.641999999999976723e+01,1.222166728212741305e+02,3.047450015679759705e+00,3.047450015679759705e+00
1.642999999999976879e+01,1.222776262634049829e+02,3.047894031040348395e+00,3.047894031040348395e+00
1.643999999999977035e+01,1.223385885826925232e+02,3.048337731098738068e+00,3.048337731098738068e+00
