# Tier-0 from-onset MD ensemble-mean trajectory (18A). preset=single_pulse_N2000_18Angst_drag, N=50, seed=20260604, ion 20 ps dt=0.01, m_eff=202.953908 amu, window=[4.54,8.0] ps. Generated 2026-06-04 on branch drag_implementation.
# time_ps,mean_distance_A,mean_speed_I1_Aps,mean_speed_I2_Aps
1.530999999999971806e+01,1.032765366821898141e+02,2.908965358643070598e+00,2.942014767650843687e+00
1.531999999999971784e+01,1.033350487771858610e+02,2.909495823522657343e+00,2.942555419640308756e+00
1.532999999999971763e+01,1.033935715837113634e+02,2.910026310680235095e+00,2.943096045159010909e+00
1.533999999999971742e+01,1.034521051016960342e+02,2.910556817084641423e+00,2.943636641309366642e+00
1.534999999999971720e+01,1.035106493310104128e+02,2.911087339718526845e+00,2.944177205207896719e+00
1.535999999999971699e+01,1.035692042714659209e+02,2.911617875578333070e+00,2.944717733985202646e+00
1.536999999999971678e+01,1.036277699228157019e+02,2.912148421674294774e+00,2.945258224785963108e+00
1.537999999999971656e+01,1.036863462847543786e+02,2.912678975030427608e+00,2.945798674768915770e+00
1.538999999999971635e+01,1.037449333569186223e+02,2.913209532684511327e+00,2.946339081106834179e+00
1.539999999999971614e+01,1.038035311388871520e+02,2.913740091688092448e+00,2.946879440986531762e+00
1.540999999999971593e+01,1.038621396301814599e+02,2.914270649106475375e+00,2.947419751608841842e+00
1.541999999999971571e+01,1.039207588302657257e+02,2.914801202018677095e+00,2.947960010188572344e+00
1.542999999999971550e+01,1.039793887385470157e+02,2.915331747517454719e+00,2.948500213954521332e+00
1.543999999999971529e+01,1.040380293543760644e+02,2.915862282709272613e+00,2.949040360149447704e+00
1.544999999999971507e+01,1.040966806770468764e+02,2.916392804714297071e+00,2.949580446030056979e+00
1.545999999999971486e+01,1.041553427057977075e+02,2.916923310666384772e+00,2.950120468866984424e+00
1.546999999999971465e+01,1.042140154398107228e+02,2.917453797713065455e+00,2.950660425944775955e+00
1.547999999999971443e+01,1.042726988782125375e+02,2.917984263015541035e+00,2.951200314561878812e+00
1.548999999999971422e+01,1.043313930200746711e+02,2.918514703748660288e+00,2.951740132030614028e+00
1.549999999999971401e+01,1.043900978644135051e+02,2.919045117100895315e+00,2.952279875677142673e+00
1.550999999999971379e+01,1.044488134101907377e+02,2.919575500274347757e+00,2.952819542841482292e+00
1.551999999999971358e+01,1.045075396563135968e+02,2.920105850484745691e+00,2.953359130877479366e+00
1.552999999999971337e+01,1.045662766016351810e+02,2.920636164961380121e+00,2.953898637152755580e+00
1.553999999999971315e+01,1.046250242449545453e+02,2.921166440947127185e+00,2.954438059048718035e+00
1.554999999999971294e+01,1.046837825850172692e+02,2.921696675698423729e+00,2.954977393960533050e+00
1.555999999999971273e+01,1.047425516205154565e+02,2.922226866485269525e+00,2.955516639297123938e+00
1.556999999999971251e+01,1.048013313500883470e+02,2.922757010591192639e+00,2.956055792481130151e+00
1.557999999999971230e+01,1.048601217723220032e+02,2.923287105313231216e+00,2.956594850948883302e+00
1.558999999999971209e+01,1.049189228857502201e+02,2.923817147961925045e+00,2.957133812150400498e+00
