E_eV,v_mps,signal_2d_Pv,signal_2d_PE,signal_3d_Pv,signal_3d_PE
4.05406,2482.9,0.82427,0.51415,0.84027,0.90776
4.13896,2508.8,0.84080,0.51906,0.75329,0.80539
4.22474,2534.6,0.85887,0.52480,0.74116,0.78434
4.31140,2560.5,0.81376,0.49221,1.13672,1.19080
4.39894,2586.4,0.79994,0.47901,0.56584,0.58683
4.48736,2612.2,0.84474,0.50083,0.83725,0.85971
4.57665,2638.1,0.77790,0.45668,0.74842,0.76096
4.66683,2663.9,0.75733,0.44029,1.09036,1.09788
4.75789,2689.8,0.79232,0.45620,1.09133,1.08828
4.84983,2715.7,0.75237,0.42907,0.97761,0.96559
4.94265,2741.5,0.75721,0.42776,1.55701,1.52337
5.03634,2767.4,0.77649,0.43456,1.15663,1.12106
5.13092,2793.3,0.77772,0.43121,0.83884,0.80552
5.22638,2819.1,0.58455,0.32114,0.65778,0.62586
5.32271,2845.0,0.46725,0.25436,0.59543,0.56138
5.41993,2870.9,0.36532,0.19708,0.80092,0.74832
5.51803,2896.7,0.30240,0.16168,0.81995,0.75926
5.61700,2922.6,0.22444,0.11894,1.01276,0.92950
5.71686,2948.4,0.20633,0.10838,1.06745,0.97110
5.81759,2974.3,0.15268,0.07950,0.77930,0.70279
5.91921,3000.2,0.08887,0.04588,0.46438,0.41518
6.02171,3026.0,0.03584,0.01834,0.00000,0.00000
6.12508,3051.9,0.00168,0.00085,0.00000,0.00000
