E_eV,v_mps,signal_2d_Pv,signal_2d_PE,signal_3d_Pv,signal_3d_PE
2.60813,1931.5,-0.00090,-0.00033,0.00000,0.00000
2.67631,1956.6,-0.00495,-0.00182,0.00000,0.00000
2.74538,1981.7,0.01024,0.00371,0.00000,0.00000
2.81532,2006.8,0.02056,0.00736,0.05058,0.02384
2.88614,2031.8,0.00367,0.00130,0.01187,0.00553
2.95785,2056.9,0.01883,0.00658,0.05213,0.02397
3.03043,2082.0,-0.00817,-0.00282,0.01119,0.00508
3.10389,2107.1,0.00625,0.00213,0.04110,0.01845
3.17823,2132.2,-0.01032,-0.00348,0.00000,0.00000
3.25345,2157.3,0.02976,0.00991,0.01649,0.00723
3.32956,2182.4,0.00858,0.00283,0.02622,0.01136
3.40654,2207.4,-0.00804,-0.00262,0.00000,0.00000
3.48440,2232.5,0.00972,0.00313,0.09609,0.04071
3.56314,2257.6,0.00113,0.00036,0.00000,0.00000
3.64276,2282.7,0.00040,0.00012,0.00129,0.00054
3.72326,2307.8,0.01341,0.00418,0.00000,0.00000
3.80464,2332.9,0.00350,0.00108,0.00000,0.00000
3.88690,2357.9,-0.02433,-0.00742,0.05258,0.02109
3.97004,2383.0,0.00741,0.00223,0.00000,0.00000
4.05406,2408.1,0.03237,0.00966,0.00000,0.00000
4.13896,2433.2,0.02696,0.00796,0.00000,0.00000
4.22474,2458.3,0.00112,0.00033,0.05688,0.02188
4.31140,2483.4,0.00462,0.00134,0.00000,0.00000
4.39894,2508.4,-0.00110,-0.00032,0.00761,0.00287
4.48736,2533.5,0.01076,0.00305,0.00000,0.00000
4.57665,2558.6,-0.02172,-0.00610,0.12344,0.04563
4.66683,2583.7,-0.02439,-0.00678,0.01201,0.00440
4.75789,2608.8,-0.00337,-0.00093,0.00000,0.00000
4.84983,2633.9,0.00574,0.00157,0.01054,0.00378
4.94265,2659.0,0.01590,0.00430,0.00000,0.00000
5.03634,2684.0,0.00603,0.00161,0.00000,0.00000
5.13092,2709.1,0.00980,0.00260,0.00000,0.00000
5.22638,2734.2,0.02034,0.00535,0.00000,0.00000
5.32271,2759.3,0.00653,0.00170,0.00182,0.00063
5.41993,2784.4,-0.00727,-0.00188,0.02467,0.00838
5.51803,2809.5,0.00260,0.00066,0.00000,0.00000
5.61700,2834.5,0.00180,0.00046,0.00000,0.00000
5.71686,2859.6,-0.00175,-0.00044,0.00000,0.00000
5.81759,2884.7,0.00984,0.00245,0.06556,0.02149
5.91921,2909.8,0.00355,0.00088,0.00682,0.00222
6.02171,2934.9,-0.00046,-0.00011,0.00000,0.00000
6.12508,2960.0,-0.00003,-0.00001,0.00000,0.00000
