E_eV,v_mps,signal_2d_Pv,signal_2d_PE,signal_3d_Pv,signal_3d_PE
2.34419,1779.1,0.00285,0.00082,0.00000,0.00000
2.40886,1803.5,0.02237,0.00637,0.00000,0.00000
2.47440,1827.9,0.02166,0.00608,0.00000,0.00000
2.54083,1852.3,0.01025,0.00284,0.00708,0.00260
2.60813,1876.6,-0.00918,-0.00251,0.13202,0.04791
2.67631,1901.0,-0.01722,-0.00465,0.00000,0.00000
2.74538,1925.4,0.04123,0.01099,0.00000,0.00000
2.81532,1949.7,0.00046,0.00012,0.00000,0.00000
2.88614,1974.1,0.02675,0.00696,0.00000,0.00000
2.95785,1998.5,0.01732,0.00445,0.00000,0.00000
3.03043,2022.9,-0.01878,-0.00477,0.00000,0.00000
3.10389,2047.2,0.03692,0.00926,0.00000,0.00000
3.17823,2071.6,0.00364,0.00090,0.00000,0.00000
3.25345,2096.0,0.03925,0.00961,0.00000,0.00000
3.32956,2120.3,0.02836,0.00687,0.03206,0.01030
3.40654,2144.7,0.01120,0.00268,0.00000,0.00000
3.48440,2169.1,0.04106,0.00972,0.00000,0.00000
3.56314,2193.5,-0.05454,-0.01277,0.01335,0.00415
3.64276,2217.8,-0.02417,-0.00559,0.00000,0.00000
3.72326,2242.2,0.01443,0.00330,0.00000,0.00000
3.80464,2266.6,-0.00085,-0.00019,0.08383,0.02519
3.88690,2290.9,0.01298,0.00291,0.00000,0.00000
3.97004,2315.3,0.00566,0.00126,0.00000,0.00000
4.05406,2339.7,0.06431,0.01411,0.00000,0.00000
4.13896,2364.1,0.01807,0.00392,0.00000,0.00000
4.22474,2388.4,0.03902,0.00839,0.00000,0.00000
4.31140,2412.8,-0.00869,-0.00185,0.05894,0.01663
4.39894,2437.2,-0.00208,-0.00044,0.00000,0.00000
4.48736,2461.6,0.00624,0.00130,0.00000,0.00000
4.57665,2485.9,0.01758,0.00363,0.00000,0.00000
4.66683,2510.3,0.02369,0.00485,0.00000,0.00000
4.75789,2534.7,-0.00160,-0.00032,0.00000,0.00000
4.84983,2559.0,-0.00980,-0.00197,0.00000,0.00000
4.94265,2583.4,-0.03934,-0.00782,0.00000,0.00000
5.03634,2607.8,-0.00330,-0.00065,0.00000,0.00000
5.13092,2632.2,-0.01647,-0.00321,0.00000,0.00000
5.22638,2656.5,-0.01089,-0.00210,0.00000,0.00000
5.32271,2680.9,-0.01685,-0.00323,0.00000,0.00000
5.41993,2705.3,0.00910,0.00173,0.01613,0.00406
5.51803,2729.6,-0.00953,-0.00179,0.04200,0.01048
5.61700,2754.0,-0.00794,-0.00148,0.01941,0.00480
5.71686,2778.4,0.00572,0.00106,0.00000,0.00000
5.81759,2802.8,-0.00036,-0.00007,0.00000,0.00000
5.91921,2827.1,-0.00440,-0.00080,0.00000,0.00000
6.02171,2851.5,-0.00182,-0.00033,0.00000,0.00000
6.12508,2875.9,-0.00000,-0.00000,0.00000,0.00000
