t_ps,x1_A,y1_A,z1_A,x2_A,y2_A,z2_A,vx1_Aps,vy1_Aps,vz1_Aps,vx2_Aps,vy2_Aps,vz2_Aps,E_kin_eV,E_pot_eV,E_total_eV
1.0000000000000001e-01,1.2540067473040493e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2540067473040493e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3215029145876991e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.3215029145876991e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4521507417912555e-01,1.8134063255734975e-01,3.2655570673647527e-01
1.1000000000000000e-01,1.2972679686647730e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.2972679686647730e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.6820196831214904e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.6820196831214904e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.8854190553419462e-01,3.1594324623351967e-02,3.2013623015754661e-01
1.2000000000000000e-01,1.3476471409664792e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.3476471409664792e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.9275342140377214e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.9275342140377214e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1959628485050423e-01,4.5868531129448402e-03,3.2418313796344905e-01
1.3000000000000000e-01,1.3958186529455276e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.3958186529455276e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.4549475281554205e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.4549475281554205e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.6123274356497034e-01,6.7670213803634416e-02,3.2890295736860475e-01
1.4000000000000001e-01,1.4367460915295878e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4367460915295878e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.6147901101681779e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.6147901101681779e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7199213837773225e-01,1.5947522698668504e-01,3.3146736536441729e-01
1.4999999999999999e-01,1.4681144551488914e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4681144551488914e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.6120061485868660e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.6120061485868660e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.9802993793527075e-02,2.4269047141705116e-01,3.3249346521057821e-01
1.6000000000000000e-01,1.4889862145013253e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4889862145013253e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5459535114165870e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.5459535114165870e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1458302582494650e-02,3.0135671462185448e-01,3.3281501720434914e-01
1.7000000000000001e-01,1.4990335253772233e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4990335253772233e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.5902122609003149e-01,0.0000000000000000e+00,0.0000000000000000e+00,-4.5902122609003149e-01,0.0000000000000000e+00,0.0000000000000000e+00,2.7733709530161571e-03,3.3011415274425626e-01,3.3288752369727242e-01
1.7999999999999999e-01,1.4981666390231261e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4981666390231261e+00,0.0000000000000000e+00,0.0000000000000000e+00,-6.3208971273079029e-01,0.0000000000000000e+00,0.0000000000000000e+00,6.3208971273079029e-01,0.0000000000000000e+00,0.0000000000000000e+00,5.2589600267842727e-03,3.2762416416871798e-01,3.3288312419550226e-01
1.9000000000000000e-01,1.4863917311226076e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.4863917311226076e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.7172176999649695e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7172176999649695e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.8814423295704538e-02,2.9397381958678520e-01,3.3278824288248976e-01
