# Tier-1a onset-strip stress MD ensemble-mean trajectory. run_tag=tier1a_stress_onset_strip_n0_t0.5, n_final=0, t_strip_ps=0.5, N=50, ion_steps=3000.
# time_ps,mean_distance_A,mean_speed_I1_Aps,mean_speed_I2_Aps
1.656999999999979067e+01,1.103240548080807457e+02,2.666253789365323978e+00,2.666253789365323978e+00
1.657999999999979224e+01,1.103773878605744017e+02,2.667051346043169069e+00,2.667051346043169069e+00
1.658999999999979380e+01,1.104307368628121395e+02,2.667848762377537764e+00,2.667848762377537764e+00
1.659999999999979536e+01,1.104841018119539626e+02,2.668646035067375077e+00,2.668646035067375077e+00
1.660999999999979693e+01,1.105374827050942201e+02,2.669443160828568473e+00,2.669443160828568473e+00
1.661999999999979849e+01,1.105908795392614081e+02,2.670240136393932762e+00,2.670240136393932762e+00
1.662999999999980005e+01,1.106442923114191643e+02,2.671036958513201220e+00,2.671036958513201220e+00
1.663999999999980162e+01,1.106977210184660407e+02,2.671833623952973191e+00,2.671833623952973191e+00
1.664999999999980318e+01,1.107511656572362710e+02,2.672630129496678997e+00,2.672630129496678997e+00
1.665999999999980474e+01,1.108046262244998985e+02,2.673426471944572391e+00,2.673426471944572391e+00
1.666999999999980631e+01,1.108581027169630602e+02,2.674222648113725231e+00,2.674222648113725231e+00
1.667999999999980787e+01,1.109115951312684558e+02,2.675018654837976406e+00,2.675018654837976406e+00
1.668999999999980943e+01,1.109651034639955895e+02,2.675814488967878990e+00,2.675814488967878990e+00
1.669999999999981100e+01,1.110186277116612672e+02,2.676610147370719783e+00,2.676610147370719783e+00
1.670999999999981256e+01,1.110721678707195537e+02,2.677405626930473570e+00,2.677405626930473570e+00
1.671999999999981412e+01,1.111257239375626824e+02,2.678200924547766704e+00,2.678200924547766704e+00
1.672999999999981569e+01,1.111792959085208139e+02,2.678996037139860231e+00,2.678996037139860231e+00
1.673999999999981725e+01,1.112328837798628172e+02,2.679790961640633906e+00,2.679790961640633906e+00
1.674999999999981881e+01,1.112864875477961277e+02,2.680585695000538227e+00,2.680585695000538227e+00
1.675999999999982037e+01,1.113401072084675860e+02,2.681380234186566458e+00,2.681380234186566458e+00
1.676999999999982194e+01,1.113937427579635795e+02,2.682174576182218217e+00,2.682174576182218217e+00
1.677999999999982350e+01,1.114473941923101279e+02,2.682968717987470164e+00,2.682968717987470164e+00
1.678999999999982506e+01,1.115010615074735512e+02,2.683762656618777775e+00,2.683762656618777775e+00
1.679999999999982663e+01,1.115547446993605973e+02,2.684556389109036267e+00,2.684556389109036267e+00
1.680999999999982819e+01,1.116084437638189399e+02,2.685349912507517534e+00,2.685349912507517534e+00
1.681999999999982975e+01,1.116621586966372490e+02,2.686143223879869257e+00,2.686143223879869257e+00
1.682999999999983132e+01,1.117158894935457454e+02,2.686936320308071835e+00,2.686936320308071835e+00
1.683999999999983288e+01,1.117696361502164990e+02,2.687729198890433047e+00,2.687729198890433047e+00
1.684999999999983444e+01,1.118233986622637417e+02,2.688521856741497018e+00,2.688521856741497018e+00
1.685999999999983601e+01,1.118771770252439239e+02,2.689314290992064205e+00,2.689314290992064205e+00
1.686999999999983757e+01,1.119309712346565107e+02,2.690106498789176737e+00,2.690106498789176737e+00
1.687999999999983913e+01,1.119847812859440239e+02,2.690898477296032265e+00,2.690898477296032265e+00
1.688999999999984070e+01,1.120386071744923413e+02,2.691690223691981743e+00,2.691690223691981743e+00
1.689999999999984226e+01,1.120924488956311507e+02,2.692481735172470358e+00,2.692481735172470358e+00
1.690999999999984382e+01,1.121463064446341775e+02,2.693273008949057967e+00,2.693273008949057967e+00
1.691999999999984539e+01,1.122001798167195261e+02,2.694064042249363133e+00,2.694064042249363133e+00
1.692999999999984695e+01,1.122540690070500915e+02,2.694854832316980087e+00,2.694854832316980087e+00
