t_ps,v_spline_Aps,F_drag_amuAps2
5.04,3.5949241296910324,196.56195267549248
5.041,3.594452205266012,196.54315303006854
5.042,3.5939802777264087,196.52433318097667
5.043,3.593508347100617,196.50549321514052
5.044,3.593036413417034,196.4866332077894
5.045,3.5925644767040525,196.46775321832774
5.046,3.592092536990068,196.4488532756813
5.047,3.5916205943034782,196.42993345362086
5.048,3.5911486486726742,196.41099381526024
5.049,3.5906767001260524,196.392034429105
5.05,3.590204748692011,196.3730553421235
5.051,3.5897327943989414,196.35405656707402
5.052,3.589260837275241,196.33503812740628
5.053,3.588788877349302,196.31600006541376
5.054,3.5883169146495213,196.29694238370803
5.055,3.5878449492042956,196.2778651916746
5.056,3.587372981042017,196.25876857570174
5.057,3.586901010191082,196.23965259003896
5.058,3.586429036679886,196.22051727368228
5.059,3.5859570605368227,196.2013626925975
5.06,3.5854850817902895,196.18218897244475
5.061,3.5850131004686796,196.1629961259411
5.062,3.584541116600388,196.14378416243864
5.063,3.5840691302138112,196.12455312710355
5.064,3.5835971413373424,196.10530308990275
5.065,3.583125149999378,196.08603410287577
5.066,3.582653156228314,196.0667462344449
5.067,3.582181160052543,196.0474395934931
5.068,3.581709161500462,196.02811430257725
5.069,3.5812371606004656,196.00877046649418
5.07,3.5807651573809482,195.98940819638108
5.071,3.5802931518703063,195.97002756162905
5.072,3.579821144096934,195.95062868216456
5.073,3.5793491340892247,195.9312116411444
5.074,3.5788771218755775,195.91177651195585
5.075,3.578405107484384,195.8923233704863
5.076,3.577933090944041,195.8728523197263
5.077,3.5774610722829427,195.85336340167808
5.078,3.5769890515294858,195.83385663814823
5.079,3.576517028712063,195.81433211365263
5.08,3.576045003859071,195.79478992137393
5.081,3.575572976998904,195.7752300881042
5.082,3.575100948159959,195.7556526931126
5.083,3.5746289173706276,195.73605787227365
5.084,3.5741568846593075,195.71644571451503
5.085,3.5736848500543945,195.69681623399956
5.086,3.5732128135842807,195.67716946730297
5.087,3.5727407752773632,195.65750544637473
5.088,3.5722687351620372,195.63782420182432
5.089,3.5717966932666974,195.61812579330788
5.09,3.5713246496197386,195.59841025751328
5.091,3.5708526042495565,195.57867763133845
5.092,3.5703805571845453,195.55892795448324
5.093,3.5699085084531,195.53916134617904
5.094,3.5694364580836173,195.519377809594
5.095,3.5689644061044907,195.49957732170066
5.096,3.568492352544115,195.47975989496223
5.097,3.5680202974308872,195.45992553597677
5.098,3.5675482407932018,195.44007427403483
5.099,3.5670761826594517,195.42020613161952
5.1,3.566604123058035,195.40032116834396
5.101,3.5661320620173447,195.38041942709765
5.102,3.5656599995657774,195.36050093722093
5.103,3.5651879357317258,195.34056574352698
5.104,3.564715870543588,195.3206140529773
5.105,3.5642438040297564,195.30064600265794
5.106,3.563771736218628,195.2806616740785
5.107,3.563299667138598,195.26066116351492
5.108,3.562827596818059,195.24064463608323
5.109,3.562355525285409,195.2206123089935
5.11,3.56188345256904,195.2005643522026
5.111,3.5614113786973514,195.18050097512872
5.112,3.5609393036987345,195.1604223546987
5.113,3.560467227601586,195.14032868353564
5.114,3.5599951504343,195.12022015137222
5.115,3.5595230722252733,195.10009698541595
5.116,3.5590509930028995,195.07995939017366
5.117,3.558578912795574,195.0598075964544
5.118,3.5581068316316924,195.0396417762666
5.119,3.5576347495396483,195.0194620547784
5.12,3.5571626665478386,194.99926862559374
5.121,3.5566905826846584,194.97906174503396
5.122,3.556218497978502,194.95884160466068
5.123,3.5557464124577627,194.93860844904873
5.124,3.5552743261508386,194.91836249829294
5.125,3.554802239086123,194.89810399800228
5.126,3.5543301512920125,194.8778331656782
5.127,3.5538580627969005,194.85755032814473
5.128,3.553385973629183,194.83725567951615
5.129,3.5529138838172556,194.81694950262468
5.13,3.5524417933895123,194.79663210503588
