v_mps,signal_296,signal_297
822.856,1.90623940938175,1.48943552291242
828.492,1.53582173779192,1.42842192405103
834.128,1.2957323104896,1.49686828248352
839.764,1.32305751539777,1.51293784219794
845.4,1.42638491009899,1.55554837569714
851.036,1.59250958161655,1.78526169716622
856.672,1.28731099986849,1.88329063899875
862.308,0.807495427007199,1.6038148035114
867.944,0.242915529968053,0.801898879678356
873.58,0.0610226516396137,-0.0136493080210593
879.216,0.264450135466162,-0.133205392422419
884.852,0.403561273957774,0.0527388975732173
890.488,0.623852035198324,0.467007632886725
896.124,0.663417877357702,0.379992416828703
901.76,0.9320844631849,0.742359209032294
907.396,1.26277457049667,1.34589061188649
913.032,1.42359163373211,1.98974068280226
918.668,1.11661273191035,2.59189419225867
924.304,0.835427314978161,2.82808037318934
929.94,0.659350373277848,2.71040431045662
935.576,0.419261778645252,2.28256950896608
941.212,0.333940815334841,1.36604344481938
946.848,0.881189133287819,0.667178725697529
952.484,1.43140096626055,0.0757338891201425
958.12,1.55580359989772,0.165431971558116
963.756,1.20846920232769,0.817449888961905
969.392,1.03754584866942,1.44236806968954
975.028,1.75373121192876,1.78654476817951
980.664,1.93121000170617,1.5247812389052
986.3,1.82522755920224,1.3444840680364
991.936,1.56438261836727,1.32063191890719
997.572,1.61886885522151,1.63056174679352
1003.208,1.75678344165315,2.01207633290252
1008.844,1.6433151934433,1.96107667630271
1014.48,1.46748338151321,1.82725521309288
1020.116,1.4450464457327,1.42213047014558
1025.752,1.48592988273395,1.09700768455073
1031.388,1.06631446634801,0.652910657426016
1037.024,0.918795368809411,0.585302796063301
1042.66,1.0573614707319,0.59077770390244
1048.296,1.21281468859345,0.487961747772743
1053.932,1.03046507196688,0.444038787012532
1059.568,0.436950168300301,0.825350697994883
1065.204,0.102317120693844,1.60959611472239
1070.84,0.460692508098393,2.05207776362763
1076.476,0.771509481459973,1.76128317528898
1082.112,1.08095715067401,1.24558679326111
1087.748,1.03541118598416,0.819332651306345
1093.384,0.737115366694293,0.748483070017254
1099.02,0.689754173755721,0.963669021564603
1104.656,0.837091374354132,1.02190815319463
1110.292,0.876653866946115,0.485064987301382
1115.928,0.715574393744333,-0.202187547188075
1121.564,0.801397065100559,-0.691218501010081
1127.2,1.06524904618419,-0.594004497420742
1132.836,1.22930486302433,-0.286804693626713
1138.472,1.277285884691,-0.161157531153605
1144.108,1.12893760412653,-0.298896877418685
1149.744,1.28344460639352,-0.153482523613254
1155.38,1.16918113744316,-0.0723307923525276
1161.016,1.17055275645691,0.101854056913865
1166.652,1.44437143025215,-0.151783732720459
1172.288,1.74459483031464,-0.501589966685991
1177.924,1.99451274696263,-0.376458064072115
1183.56,2.02735854700714,0.10352122090178
1189.196,1.9864388806007,0.904602658338969
1194.832,2.24967442670642,1.608447203599
1200.468,2.70358613303979,2.2264216316525
1206.104,2.5074643837943,1.80258683170761
1211.74,1.67004385607208,1.47491613808321
1217.376,0.460891727678347,1.01868024332499
1223.012,-0.0531536758131139,1.11386358519206
1228.648,0.0742993385764477,1.24642512252956
1234.284,0.225827371085493,1.22074459880394
1239.92,0.158979107141564,1.40876057782443
1245.556,-0.0245340380363324,1.97933146339826
1251.192,0.0830170367694452,2.16948671685
1256.828,0.389610691748806,1.71158377857545
1262.464,0.276551301244376,0.576361024781574
1268.1,-0.00746474149083198,-0.0806993913151537
1273.736,-0.289386242954346,-0.636947531622513
1279.372,-0.0679720741307364,-0.207392643867362
1285.008,0.556609656984901,0.523967355602182
1290.644,0.834776328266658,1.37835159414296
1296.28,0.458528954418623,1.20842133508399
1301.916,-0.162975538262153,0.361274339560679
1307.552,-0.703019328734459,-0.471863772082982
1313.188,-0.377880328061741,0.386279060799628
1318.824,0.0193758787596403,1.41668956111852
1324.46,0.478212795517306,2.09980674060932
1330.096,1.05166971152758,1.92812062133173
1335.732,1.28592254094963,1.28045479577456
1341.368,1.11316099585393,0.770576633285347
1347.004,-0.0415119222435809,0.0727016749599922
1352.64,-0.919841018076841,-0.277097945194793
1358.276,-0.864511844439129,0.057180924950142
1363.912,-0.162168405429157,0.660236680741934
1369.548,0.627904539008878,0.931076051388168
1375.184,1.29033966265327,1.099636518754
1380.82,2.18460876340071,1.13518221487678
1386.456,2.68770691968944,0.957719348056441
1392.092,2.34852856015795,0.0977286945244398
1397.728,1.49703718250395,-0.578354090796336
1403.364,1.58028111615505,-1.27199741832834
1409,1.82909776735965,-1.26759744555351
1414.636,1.88690438503331,-0.844057641094186
1420.272,1.32684790472091,0.162696345938097
1425.908,0.247173663109421,1.1145851930774
1431.544,-0.296136632051142,1.95224180510384
1437.18,-0.449032317593615,2.3521269691061
1442.816,-0.038444295129187,2.19118391744636
1448.452,-0.0676295239274163,1.68478544127247
