t_ps,v_spline_Aps,F_drag_amuAps2
2.764,4.872517964046427,330.8905993392105
2.765,4.8719006677592995,330.87801136777523
2.766,4.871283369390462,330.8653096415885
2.767,4.87066606894638,330.8524939393299
2.768,4.870048766433523,330.8395638475206
2.769,4.8694314618583565,330.8265188566829
2.77,4.868814155227347,330.81335855940563
2.771,4.8681968465469625,330.80008269191285
2.772,4.867579535823673,330.7866909685455
2.773,4.866962223063937,330.77318314722413
2.774,4.866344908274232,330.7595590542171
2.775,4.865727591461017,330.74581860361593
2.776,4.865110272630764,330.73196142995243
2.777,4.864492951789936,330.7179871652729
2.778,4.863875628945005,330.7038957109156
2.779,4.863258304102433,330.6896868619592
2.78,4.86264097726869,330.6753604719633
2.781,4.862023648450242,330.6609161545008
2.782,4.8614063176535565,330.6463537159337
2.783,4.860788984885101,330.6316732924439
2.784,4.860171650151342,330.6168750058232
2.785,4.859554313458746,330.6019588352352
2.786,4.85893697481378,330.58692437124176
2.787,4.858319634222914,330.5717713265664
2.788,4.85770229169261,330.55649976882535
2.789,4.857084947229337,330.54110961467734
2.79,4.856467600839564,330.52560059853886
2.791,4.855850252529758,330.5099728079878
2.792,4.855232902306383,330.49422614539867
2.793,4.854615550175908,330.4783604123036
2.794,4.8539981961448015,330.46237560436253
2.795,4.853380840219527,330.4462714879828
2.796,4.852763482406554,330.4300479493138
2.797,4.85214612271235,330.4137048149292
2.798,4.851528761143382,330.3972418861455
2.799,4.8509113977061125,330.3806592327005
2.8,4.850294032407015,330.36395702513744
2.801,4.849676665252553,330.3471355153207
2.802,4.849059296249194,330.3301951687192
2.803,4.848441925403405,330.31313663686296
2.804,4.8478245527216535,330.29596034450645
2.805,4.847207178210406,330.2786666711285
2.806,4.84658980187613,330.26125578547015
2.807,4.845972423725293,330.24372784135585
2.808,4.845355043764361,330.2260832520432
2.809,4.844737661999802,330.20832234030274
2.81,4.844120278438081,330.1904453649511
2.811,4.84350289308567,330.17245264284185
2.812,4.842885505949029,330.1543444103802
2.813,4.842268117034631,330.1361207249487
2.814,4.841650726348939,330.11778185067556
2.815,4.841033333898422,330.09932814419415
2.816,4.840415939689549,330.080760156036
2.817,4.839798543728781,330.06207850918463
2.818,4.839181146022594,330.0432834877731
2.819,4.838563746577447,330.0243754378474
2.82,4.83794634539981,330.0053546917383
2.821,4.837328942496151,329.98622158500626
2.822,4.836711537872934,329.9669763223711
2.823,4.836094131536629,329.94761947247
2.824,4.835476723493704,329.92815158136517
2.825,4.8348593137506235,329.90857299257124
2.826,4.834241902313853,329.8888841967223
2.827,4.833624489189864,329.86908578123985
2.828,4.833007074385121,329.84917829251793
2.829,4.8323896579060905,329.82916226918167
2.83,4.83177223975924,329.80903829800343
2.831,4.831154819951038,329.7888069543751
2.832,4.830537398487951,329.7684689650971
2.833,4.829919975376446,329.74802489120464
2.834,4.829302550622987,329.727475285479
2.835,4.828685124234045,329.7068207207547
2.836,4.828067696216087,329.6860615609339
2.837,4.827450266575576,329.6651979877964
2.838,4.826832835318984,329.64423030699885
2.839,4.826215402452776,329.6231589817855
2.84,4.825597967983418,329.6019843925411
2.841,4.824980531917377,329.58070691771167
2.842,4.8243630942611215,329.5593270865221
2.843,4.823745655021119,329.53784498290815
2.844,4.823128214203834,329.5162606873456
2.845,4.822510771815736,329.4945744148822
2.846,4.8218933278632905,329.4727864825591
2.847,4.821275882352966,329.45089746048666
2.848,4.820658435291227,329.428907591343
2.849,4.820040986684544,329.4068170221402
2.85,4.819423536539383,329.38462562906034
2.851,4.818806084862207,329.3623336598696
2.852,4.818188631659488,329.33994130355
2.853,4.817571176937694,329.31744862369527
2.854,4.816953720703287,329.2948558536217
2.855,4.816336262962736,329.2721633233259
2.856,4.815718803722509,329.2493713031452
2.857,4.815101342989072,329.2264799639429
2.858,4.8144838807688926,329.2034895692633
2.859,4.81386641706844,329.1804004715134
2.86,4.813248951894178,329.15721288543244
2.861,4.812631485252574,329.13392704265055
2.862,4.812014017150096,329.11054336543197
2.863,4.811396547593211,329.087062358438
2.864,4.810779076588386,329.06348439062333
2.865,4.810161604142087,329.03980948573536
2.866,4.809544130260783,329.0160376396861
2.867,4.80892665495094,328.9921690309692
2.868,4.808309178219026,328.96820372585967
2.869,4.807691700071505,328.9441417624181
2.87,4.8070742205148465,328.9199831604497
2.871,4.806456739555519,328.8957276731877
2.872,4.805839257199986,328.8713751214739
2.873,4.805221773454716,328.8469252901283
2.874,4.804604288326176,328.8223777840077
2.875,4.803986801820836,328.7977321865093
2.876,4.803369313945159,328.77298808161834
2.877,4.802751824705611,328.7481448424097
2.878,4.802134334108664,328.7232020335544
2.879,4.801516842160782,328.69815911393755
2.88,4.800899348868432,328.67301537033575
2.881,4.800281854238084,328.64777016709166
2.882,4.799664358276201,328.62242308181897
2.883,4.799046860989249,328.59697361084795
2.884,4.798429362383701,328.5714211611915
2.885,4.79781186246602,328.54576482608155
2.886,4.797194361242673,328.52000393061064
