t_ps,atom_idx,dE_eV,E0_eV
1.2200000000000000e+00,124,1.3545648881266303e-04,1.4942277487324102e-01
1.2200000000000000e+00,172,4.5489173936153759e-03,1.3356384611843408e-01
1.2200000000000000e+00,192,5.0377145414564617e-03,1.4653992359597243e-01
1.2200000000000000e+00,208,1.3068018581550364e-02,1.3700398430727381e-01
1.2200000000000000e+00,216,5.7550129159970320e-03,1.2826830339790177e-01
1.2200000000000000e+00,217,1.1576370683053103e-02,1.2262698441283483e-01
1.2200000000000000e+00,222,1.6021058151358070e-02,1.4830166639635078e-01
1.2200000000000000e+00,230,2.8538688821787006e-03,1.4690392070013863e-01
1.2200000000000000e+00,306,1.1145770948201628e-02,1.4875032463298965e-01
1.2200000000000000e+00,312,1.1650372647498464e-02,1.2297369870921539e-01
1.2200000000000000e+00,319,1.2545454501533548e-02,1.5670799347959052e-01
1.2200000000000000e+00,483,1.5390938506954638e-03,1.0924267907560183e-01
1.2200000000000000e+00,601,5.8156096706799554e-03,1.3717310271013347e-01
1.2200000000000000e+00,641,8.2541637639537424e-03,1.5192822810225032e-01
1.2200000000000000e+00,742,1.0435678818024013e-02,1.3234869247448941e-01
1.2200000000000000e+00,778,1.3797256952443729e-02,1.2451769199402359e-01
1.2200000000000000e+00,800,4.2914165039075469e-03,1.5049129545169262e-01
1.2200000000000000e+00,864,6.4414311237784710e-03,1.2918826114525345e-01
1.2200000000000000e+00,868,2.3243366684072009e-03,1.3336877319412538e-01
1.2200000000000000e+00,875,7.3996017695920902e-03,1.1661377016900783e-01
1.2200000000000000e+00,877,1.2960472886389018e-02,1.4508868350822796e-01
1.2300000000000000e+00,100,6.4117646509017079e-03,1.3495662996489613e-01
1.2300000000000000e+00,133,7.7682238289259464e-03,1.3683848284334033e-01
1.2300000000000000e+00,203,6.7581627663382271e-03,1.2818061534618094e-01
1.2300000000000000e+00,204,3.3847415151798677e-03,1.3296877141377630e-01
1.2300000000000000e+00,224,8.3725046001141001e-03,1.4138571464556943e-01
1.2300000000000000e+00,225,1.1364226773714320e-02,1.3958156303371072e-01
1.2300000000000000e+00,272,6.3431010451057146e-03,1.3373649078241767e-01
1.2300000000000000e+00,303,2.7248071603566681e-04,1.3692983089324820e-01
1.2300000000000000e+00,379,2.9982395734407807e-03,1.4832652745166142e-01
1.2300000000000000e+00,442,1.2805908767364788e-02,1.5580655800512686e-01
1.2300000000000000e+00,464,1.5755633994128534e-02,1.3559683431977204e-01
1.2300000000000000e+00,498,1.9064090693177160e-04,1.4081613016262279e-01
1.2300000000000000e+00,521,1.3155360275968392e-02,1.3129163242571676e-01
1.2300000000000000e+00,530,1.0342056972139635e-02,1.4825590065167132e-01
1.2300000000000000e+00,715,1.1393261766085433e-02,1.3822671494373662e-01
1.2300000000000000e+00,727,6.8696999596648822e-03,1.6323351256499710e-01
1.2300000000000000e+00,786,4.0574875268633293e-03,1.5421800591599125e-01
1.2300000000000000e+00,901,2.4499924055083472e-03,1.0899024128783744e-01
1.2300000000000000e+00,941,1.7633406262468065e-03,1.4593529910560563e-01
1.2300000000000000e+00,956,1.3985155707108010e-05,1.4058598446372089e-01
1.2300000000000000e+00,970,1.2031898945010666e-02,1.1241108917475505e-01
1.2300000000000000e+00,975,6.3245658262316706e-03,1.5665071623173998e-01
1.2400000000000000e+00,3,5.3653949694487113e-03,1.4686720456087618e-01
1.2400000000000000e+00,6,9.3593083133034216e-03,1.4298319575483043e-01
1.2400000000000000e+00,55,5.3034651823667400e-03,1.3129299196383856e-01
1.2400000000000000e+00,56,3.8648777855466304e-03,1.1955007847367884e-01
1.2400000000000000e+00,81,1.7948355780413039e-04,1.1635795867125549e-01
