t_ps,mean_E_kin_eV,var_E_kin_eV,mean_E_dissip_eV,var_E_dissip_eV,n_coll_this_step,n_coll_cumulative
2.8000000000000003e-01,1.5787886909706486e-01,7.5082443481088479e-05,6.6539118691129528e-03,7.5082443481088546e-05,24,697
2.8999999999999998e-01,1.5765927201072982e-01,7.7373954808080737e-05,6.8735089554479876e-03,7.7373954808080791e-05,22,719
2.9999999999999999e-01,1.5738485681219500e-01,7.9988241498758159e-05,7.1479241539828507e-03,7.9988241498758241e-05,27,746
3.1000000000000000e-01,1.5719491139487882e-01,8.1991774851838232e-05,7.3378695712990267e-03,8.1991774851838313e-05,24,770
3.2000000000000001e-01,1.5691335988497082e-01,8.5383015904112072e-05,7.6194210812070076e-03,8.5383015904112139e-05,33,803
3.3000000000000002e-01,1.5670049967660543e-01,8.6490147895169873e-05,7.8322812895724094e-03,8.6490147895169927e-05,31,834
3.4000000000000002e-01,1.5635201010809924e-01,9.0574208146518986e-05,8.1807708580785756e-03,9.0574208146519081e-05,36,870
3.5000000000000003e-01,1.5613074915719674e-01,9.3113720645381735e-05,8.4020318089810947e-03,9.3113720645381817e-05,21,891
3.5999999999999999e-01,1.5588578438679337e-01,9.6139612177200163e-05,8.6469965793844420e-03,9.6139612177200271e-05,26,917
3.7000000000000000e-01,1.5557855909574478e-01,1.0087050310114622e-04,8.9542218704330764e-03,1.0087050310114629e-04,31,948
3.8000000000000000e-01,1.5534826891809286e-01,1.0375618974826178e-04,9.1845120480849359e-03,1.0375618974826186e-04,26,974
3.9000000000000001e-01,1.5502359466233606e-01,1.0753630501931471e-04,9.5091863038417549e-03,1.0753630501931479e-04,31,1005
4.0000000000000002e-01,1.5476424660302596e-01,1.1008776333968437e-04,9.7685343631518720e-03,1.1008776333968441e-04,26,1031
4.1000000000000003e-01,1.5449479860649007e-01,1.1291357158320742e-04,1.0037982359687751e-02,1.1291357158320748e-04,26,1057
4.1999999999999998e-01,1.5433208684784444e-01,1.1368830886050596e-04,1.0200694118333393e-02,1.1368830886050602e-04,20,1077
4.2999999999999999e-01,1.5407793669490774e-01,1.1515246228461419e-04,1.0454844271270060e-02,1.1515246228461427e-04,29,1106
4.4000000000000000e-01,1.5391864970690952e-01,1.1850974494120073e-04,1.0614131259268291e-02,1.1850974494120079e-04,21,1127
4.5000000000000001e-01,1.5366540618828406e-01,1.1980399182665031e-04,1.0867374777893778e-02,1.1980399182665042e-04,29,1156
4.6000000000000002e-01,1.5334241828429987e-01,1.2361701414815587e-04,1.1190362681877957e-02,1.2361701414815595e-04,32,1188
4.7000000000000003e-01,1.5311330227263018e-01,1.2726257601842800e-04,1.1419478693547655e-02,1.2726257601842811e-04,22,1210
4.7999999999999998e-01,1.5288281170843063e-01,1.3056080685507166e-04,1.1649969257747191e-02,1.3056080685507174e-04,32,1242
4.8999999999999999e-01,1.5267016004074377e-01,1.3268864171398555e-04,1.1862620925434065e-02,1.3268864171398563e-04,20,1262
5.0000000000000000e-01,1.5242310017509464e-01,1.3627720901362842e-04,1.2109680791083176e-02,1.3627720901362850e-04,29,1291
5.1000000000000001e-01,1.5218657279272402e-01,1.3878923787282463e-04,1.2346208173453806e-02,1.3878923787282474e-04,28,1319
5.2000000000000002e-01,1.5197305724915025e-01,1.4146456978150231e-04,1.2559723717027555e-02,1.4146456978150242e-04,25,1344
5.3000000000000003e-01,1.5182825099733668e-01,1.4281649134821557e-04,1.2704529968841131e-02,1.4281649134821562e-04,16,1360
5.4000000000000004e-01,1.5152600905463276e-01,1.4439976134437711e-04,1.3006771911545052e-02,1.4439976134437719e-04,32,1392
5.5000000000000004e-01,1.5120502866687513e-01,1.4600786109523472e-04,1.3327752299302680e-02,1.4600786109523483e-04,31,1423
5.6000000000000005e-01,1.5093058749522778e-01,1.4966951174660251e-04,1.3602193470950062e-02,1.4966951174660259e-04,24,1447
5.7000000000000006e-01,1.5063404910406894e-01,1.5182929512362159e-04,1.3898731862108873e-02,1.5182929512362164e-04,34,1481
5.7999999999999996e-01,1.5050055256442874e-01,1.5351440597318321e-04,1.4032228401749072e-02,1.5351440597318334e-04,13,1494
5.8999999999999997e-01,1.5026255591416987e-01,1.5445002161602506e-04,1.4270225052007975e-02,1.5445002161602515e-04,24,1518
5.9999999999999998e-01,1.5004982723406571e-01,1.5514731675877346e-04,1.4482953732112121e-02,1.5514731675877355e-04,22,1540
6.0999999999999999e-01,1.4984536457108538e-01,1.5773570582133911e-04,1.4687416395092436e-02,1.5773570582133922e-04,23,1563
6.2000000000000000e-01,1.4964557399338269e-01,1.5852549259413873e-04,1.4887206972795148e-02,1.5852549259413878e-04,19,1582
6.3000000000000000e-01,1.4939930367359844e-01,1.6069609812721861e-04,1.5133477292579382e-02,1.6069609812721869e-04,30,1612
6.4000000000000001e-01,1.4916335026597852e-01,1.6441759239203376e-04,1.5369430700199306e-02,1.6441759239203387e-04,30,1642
6.5000000000000002e-01,1.4889063948146516e-01,1.6756169042253193e-04,1.5642141484712647e-02,1.6756169042253204e-04,29,1671
6.6000000000000003e-01,1.4869978980330281e-01,1.6761012471063920e-04,1.5832991162875006e-02,1.6761012471063931e-04,23,1694
6.7000000000000004e-01,1.4841965960375370e-01,1.6962564410721864e-04,1.6113121362424127e-02,1.6962564410721872e-04,26,1720
6.8000000000000005e-01,1.4819106929236467e-01,1.7013321210587702e-04,1.6341711673813167e-02,1.7013321210587710e-04,27,1747
6.9000000000000006e-01,1.4802162060838409e-01,1.7131526555598934e-04,1.6511160357793722e-02,1.7131526555598943e-04,18,1765
7.0000000000000007e-01,1.4772682163156828e-01,1.7329280946133213e-04,1.6805959334609551e-02,1.7329280946133221e-04,31,1796
7.0999999999999996e-01,1.4757233169089762e-01,1.7431488129550216e-04,1.6960449275280211e-02,1.7431488129550224e-04,15,1811
7.1999999999999997e-01,1.4734687381868725e-01,1.7858517779051193e-04,1.7185907147490572e-02,1.7858517779051203e-04,25,1836
7.2999999999999998e-01,1.4712383271472720e-01,1.8101869324940224e-04,1.7408948251450628e-02,1.8101869324940229e-04,28,1864
7.3999999999999999e-01,1.4682216219972918e-01,1.8595513468321143e-04,1.7710618766448628e-02,1.8595513468321151e-04,33,1897
7.5000000000000000e-01,1.4664908853812872e-01,1.8848899035315837e-04,1.7883692428049089e-02,1.8848899035315842e-04,21,1918
7.6000000000000001e-01,1.4635840451350410e-01,1.8766623297719408e-04,1.8174376452673714e-02,1.8766623297719417e-04,26,1944
7.7000000000000002e-01,1.4617623776490349e-01,1.8723203596799197e-04,1.8356543201274347e-02,1.8723203596799205e-04,23,1967
7.8000000000000003e-01,1.4589324616033009e-01,1.9085100987743190e-04,1.8639534805847739e-02,1.9085100987743198e-04,31,1998
7.9000000000000004e-01,1.4570169187261636e-01,1.8975290530274440e-04,1.8831089093561484e-02,1.8975290530274448e-04,20,2018
8.0000000000000004e-01,1.4546039811649417e-01,1.9236962396614388e-04,1.9072382849683638e-02,1.9236962396614393e-04,28,2046
8.1000000000000005e-01,1.4531185052119960e-01,1.9258994073312566e-04,1.9220930444978232e-02,1.9258994073312574e-04,21,2067
8.2000000000000006e-01,1.4509143687597953e-01,1.9365599592299066e-04,1.9441344090198293e-02,1.9365599592299071e-04,23,2090
8.3000000000000007e-01,1.4484088937241069e-01,1.9514340144833142e-04,1.9691891593767167e-02,1.9514340144833147e-04,29,2119
8.3999999999999997e-01,1.4456288354006835e-01,1.9716051738596707e-04,1.9969897426109454e-02,1.9716051738596715e-04,32,2151
8.4999999999999998e-01,1.4432400313057503e-01,1.9937174863683609e-04,2.0208777835602803e-02,1.9937174863683614e-04,29,2180
8.5999999999999999e-01,1.4416387980580408e-01,1.9966532969883387e-04,2.0368901160373772e-02,1.9966532969883396e-04,23,2203
8.7000000000000000e-01,1.4399597904629899e-01,1.9897402183747425e-04,2.0536801919878840e-02,1.9897402183747436e-04,20,2223
8.8000000000000000e-01,1.4382782462523916e-01,2.0160000449563408e-04,2.0704956340938673e-02,2.0160000449563414e-04,19,2242
8.9000000000000001e-01,1.4365854726416649e-01,2.0305623585029016e-04,2.0874233702011316e-02,2.0305623585029027e-04,24,2266
9.0000000000000002e-01,1.4337664758061075e-01,2.0484010789188165e-04,2.1156133385567055e-02,2.0484010789188173e-04,31,2297
9.1000000000000003e-01,1.4315175286710419e-01,2.0543325755412891e-04,2.1381028099073624e-02,2.0543325755412902e-04,24,2321
9.2000000000000004e-01,1.4288734408709883e-01,2.0777976373256239e-04,2.1645436879078984e-02,2.0777976373256252e-04,33,2354
9.3000000000000005e-01,1.4271686161448660e-01,2.0796460802948564e-04,2.1815919351691238e-02,2.0796460802948575e-04,21,2375
9.4000000000000006e-01,1.4246623596242233e-01,2.1067038639358015e-04,2.2066545003755475e-02,2.1067038639358026e-04,27,2402
9.5000000000000007e-01,1.4225583848798015e-01,2.1254997818166883e-04,2.2276942478197649e-02,2.1254997818166894e-04,27,2429
9.5999999999999996e-01,1.4199230115280870e-01,2.1467238251103750e-04,2.2540479813369117e-02,2.1467238251103766e-04,24,2453
