# Tier-1a MD ensemble-mean trajectory. run_tag=tier1a_anchored_continuous_t5.0, scenario=anchored_discrete, t_star_ps=5.0, N=50, ion_steps=3000.
# time_ps,mean_distance_A,mean_speed_I1_Aps,mean_speed_I2_Aps
1.641999999999976723e+01,1.227828384638066410e+02,3.219725935891915469e+00,3.219725935891915469e+00
1.642999999999976879e+01,1.228472379055570372e+02,3.220218025658366123e+00,3.220218025658366123e+00
1.643999999999977035e+01,1.229116471850497305e+02,3.220709710012144900e+00,3.220709710012144900e+00
1.644999999999977192e+01,1.229760662941721847e+02,3.221200988526271569e+00,3.221200988526271569e+00
1.645999999999977348e+01,1.230404952248032515e+02,3.221691860782237349e+00,3.221691860782237349e+00
1.646999999999977504e+01,1.231049339688137962e+02,3.222182326369954719e+00,3.222182326369954719e+00
1.647999999999977661e+01,1.231693825180662856e+02,3.222672384887689478e+00,3.222672384887689478e+00
1.648999999999977817e+01,1.232338408644154271e+02,3.223162035942008341e+00,3.223162035942008341e+00
1.649999999999977973e+01,1.232983089997081834e+02,3.223651279147706106e+00,3.223651279147706106e+00
1.650999999999978129e+01,1.233627869157834311e+02,3.224140114127759471e+00,3.224140114127759471e+00
1.651999999999978286e+01,1.234272746044732827e+02,3.224628540513247099e+00,3.224628540513247099e+00
1.652999999999978442e+01,1.234917720576020059e+02,3.225116557943308759e+00,3.225116557943308759e+00
1.653999999999978598e+01,1.235562792669870618e+02,3.225604166065070721e+00,3.225604166065070721e+00
1.654999999999978755e+01,1.236207962244386920e+02,3.226091364533592909e+00,3.226091364533592909e+00
1.655999999999978911e+01,1.236853229217604877e+02,3.226578153011805838e+00,3.226578153011805838e+00
1.656999999999979067e+01,1.237498593507493609e+02,3.227064531170452888e+00,3.227064531170452888e+00
1.657999999999979224e+01,1.238144055031956157e+02,3.227550498688026792e+00,3.227550498688026792e+00
1.658999999999979380e+01,1.238789613708831752e+02,3.228036055250720349e+00,3.228036055250720349e+00
1.659999999999979536e+01,1.239435269455900794e+02,3.228521200552358028e+00,3.228521200552358028e+00
1.660999999999979693e+01,1.240081022190877889e+02,3.229005934294356894e+00,3.229005934294356894e+00
1.661999999999979849e+01,1.240726871831425342e+02,3.229490256185635566e+00,3.229490256185635566e+00
1.662999999999980005e+01,1.241372818295141656e+02,3.229974165942576914e+00,3.229974165942576914e+00
1.663999999999980162e+01,1.242018861499571898e+02,3.230457663288962777e+00,3.230457663288962777e+00
1.664999999999980318e+01,1.242665001362209267e+02,3.230940747955934444e+00,3.230940747955934444e+00
1.665999999999980474e+01,1.243311237800488698e+02,3.231423419681907383e+00,3.231423419681907383e+00
1.666999999999980631e+01,1.243957570731798512e+02,3.231905678212535715e+00,3.231905678212535715e+00
1.667999999999980787e+01,1.244604000073473031e+02,3.232387523300650489e+00,3.232387523300650489e+00
1.668999999999980943e+01,1.245250525742800392e+02,3.232868954706205056e+00,3.232868954706205056e+00
1.669999999999981100e+01,1.245897147657019701e+02,3.233349972196212896e+00,3.233349972196212896e+00
1.670999999999981256e+01,1.246543865733326015e+02,3.233830575544685448e+00,3.233830575544685448e+00
1.671999999999981412e+01,1.247190679888867777e+02,3.234310764532594806e+00,3.234310764532594806e+00
1.672999999999981569e+01,1.247837590040752502e+02,3.234790538947806215e+00,3.234790538947806215e+00
1.673999999999981725e+01,1.248484596106044222e+02,3.235269898585027004e+00,3.235269898585027004e+00
1.674999999999981881e+01,1.249131698001766893e+02,3.235748843245755957e+00,3.235748843245755957e+00
1.675999999999982037e+01,1.249778895644906385e+02,3.236227372738219366e+00,3.236227372738219366e+00
1.676999999999982194e+01,1.250426188952409632e+02,3.236705486877327953e+00,3.236705486877327953e+00
1.677999999999982350e+01,1.251073577841189035e+02,3.237183185484602266e+00,3.237183185484602266e+00
1.678999999999982506e+01,1.251721062228119052e+02,3.237660468388138035e+00,3.237660468388138035e+00
