# Tier-1a MD ensemble-mean trajectory. run_tag=tier1a_fixed, scenario=fixed, t_star_ps=None, N=50, ion_steps=3000.
# time_ps,mean_distance_A,mean_speed_I1_Aps,mean_speed_I2_Aps
1.354999999999975557e+01,1.042992937909682354e+02,3.026649574551807387e+00,3.026649574551807387e+00
1.355999999999975536e+01,1.043598315992249610e+02,3.027131322586249063e+00,3.027131322586249063e+00
1.356999999999975515e+01,1.044203790459838501e+02,3.027613422785191855e+00,3.027613422785191855e+00
1.357999999999975493e+01,1.044809361382346253e+02,3.028095869809181551e+00,3.028095869809181551e+00
1.358999999999975472e+01,1.045415028828605983e+02,3.028578658343572538e+00,3.028578658343572538e+00
1.359999999999975451e+01,1.046020792866389826e+02,3.029061783098496718e+00,3.029061783098496718e+00
1.360999999999975429e+01,1.046626653562414617e+02,3.029545238808849295e+00,3.029545238808849295e+00
1.361999999999975408e+01,1.047232610982346159e+02,3.030029020234264792e+00,3.030029020234264792e+00
1.362999999999975387e+01,1.047838665190806040e+02,3.030513122159062434e+00,3.030513122159062434e+00
1.363999999999975365e+01,1.048444816251372202e+02,3.030997539392271900e+00,3.030997539392271900e+00
1.364999999999975344e+01,1.049051064226590881e+02,3.031482266767587141e+00,3.031482266767587141e+00
1.365999999999975323e+01,1.049657409177974046e+02,3.031967299143327743e+00,3.031967299143327743e+00
1.366999999999975302e+01,1.050263851166009772e+02,3.032452631402425158e+00,3.032452631402425158e+00
1.367999999999975280e+01,1.050870390250164945e+02,3.032938258452390290e+00,3.032938258452390290e+00
1.368999999999975259e+01,1.051477026488889521e+02,3.033424175225280628e+00,3.033424175225280628e+00
1.369999999999975238e+01,1.052083759939623064e+02,3.033910376677687815e+00,3.033910376677687815e+00
1.370999999999975216e+01,1.052690590658798442e+02,3.034396857790722990e+00,3.034396857790722990e+00
1.371999999999975195e+01,1.053297518701847935e+02,3.034883613569953731e+00,3.034883613569953731e+00
1.372999999999975174e+01,1.053904544123206364e+02,3.035370639045378738e+00,3.035370639045378738e+00
1.373999999999975152e+01,1.054511666976318196e+02,3.035857929271420730e+00,3.035857929271420730e+00
1.374999999999975131e+01,1.055118887313640101e+02,3.036345479326872265e+00,3.036345479326872265e+00
1.375999999999975110e+01,1.055726205186647491e+02,3.036833284314872206e+00,3.036833284314872206e+00
1.376999999999975088e+01,1.056333620645838494e+02,3.037321339362880401e+00,3.037321339362880401e+00
1.377999999999975067e+01,1.056941133740740071e+02,3.037809639622639502e+00,3.037809639622639502e+00
