group,label,v_c,well,tau,E0,R_A,depth_mean_A,num_scored,nbar_det,n1_solv,w1_solv,midHot,deepKE,supp,trap,KE1_mean,KE1_med,KE1_mode,KE2_mean,KE2_med,KE2_mode,KE1_n,KE2_n,KE1_r100,KE1_rmed,KE2_r,md_gate
geogrid,r2l2,7.25,eb1168,3.2,0.27,33.99832451821369,29.294477960306747,1000,12.3,0.0,7.533403021578767,1.420684748674136,1.3765307587991016,0.0,0.0,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,0
geogrid,r2l3,7.25,eb1168,3.2,0.27,33.99832451821369,10.85042171242758,804,5.325870646766169,0.18379160636758324,1.398233701752429,1.1077439326008909,0.7524836622616216,0.14054726368159204,0.196,1.061829641755059,1.0635326288207256,1.09375,0.7934872162264696,0.8055843276702608,0.7437499999999999,127,94,1.061829641755059,0.9413383348892368,1.1239195697258777,0
geogrid,r3l1,7.25,eb1168,3.2,0.27,49.40008671934283,49.400086719342845,462,18.348484848484848,0.0,13.459847826135505,nan,1.9398073666755522,0.0,0.538,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,0
geogrid,r3l2,7.25,eb1168,3.2,0.27,49.40008671934283,34.80092529648283,524,15.124045801526718,0.0,10.235408779177373,nan,2.1944232829332884,0.0,0.476,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,0
geogrid,r3l3,7.25,eb1168,3.2,0.27,49.40008671934283,14.750965702227651,596,6.303691275167785,0.15105162523900573,2.306182354232458,1.3085232150132842,1.5936668216427359,0.12248322147651007,0.404,1.0641381821422853,1.0679455942995952,1.09375,0.8269692576588809,0.8349836743167746,0.91875,79,49,1.0641381821422853,0.9433849132467069,1.1713445575904828,0
geogrid,r4l2,7.25,eb1168,3.2,0.27,68.29944455675343,40.473672685654115,200,15.275,0.0,10.386362977650657,nan,1.9302009641965332,0.0,0.8,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,0
geogrid,r4l3,7.25,eb1168,3.2,0.27,68.29944455675343,19.53728662194607,430,6.7046511627906975,0.1276595744680851,2.834052863904145,1.32673618102743,1.9712685382727049,0.12558139534883722,0.57,1.0906699385608938,1.0768199209300326,1.0062499999999999,0.8083652523906086,0.8138274054077824,0.91875,48,33,1.0906699385608938,0.9669059739015017,1.1449932753408054,0
g3ring,a031,5.5,eb1168,4.8,0.31,-,-,914,6.072210065645514,0.030701754385964914,1.7152829813147568,1.492731592539635,0.5618899557561425,0.002188183807439825,0.086,0.8880132393340708,0.8780454686333379,0.91875,0.8001018411560997,0.7950645052339048,0.83125,28,115,0.8880132393340708,0.7872457795514813,1.1332887268499996,0
g3ring,a033,5.5,eb1168,4.8,0.33,-,-,913,5.36144578313253,0.10165745856353592,1.2315873115673233,1.275638540297603,0.5026129800693606,0.008762322015334063,0.087,0.8203108435834131,0.8150148324326085,0.83125,0.7305569091376983,0.7317855686441455,0.7437499999999999,92,146,0.8203108435834131,0.7272259251626003,1.0347831574188362,0
g3ring,a035,5.5,eb1168,4.8,0.35,-,-,913,4.692223439211391,0.1813953488372093,0.9472881981149271,1.1008522429813683,0.45342726829940017,0.05805038335158817,0.087,0.7467693102710464,0.7439108090001469,0.7437499999999999,0.6566462492018353,0.6598553781263801,0.65625,156,108,0.7467693102710464,0.6620295303821334,0.9300938373963674,0
g3ring,a037,5.5,eb1168,4.8,0.37,-,-,915,4.0972677595628415,0.21139240506329116,0.826327552936255,0.9390146757595911,0.4291162084136605,0.1366120218579235,0.085,0.6875338714499014,0.6929964461755846,0.65625,0.5724342800344011,0.5753251708165705,0.5687499999999999,167,106,0.6875338714499014,0.6095158434839553,0.8108134278107665,1
g3ring,b029,6.0,eb1168,6.4,0.29,-,-,793,5.060529634300126,0.082382762991128,1.3881844138882684,0.622272990363925,0.6065134037035171,0.005044136191677175,0.207,0.6226304974760335,0.6207293713519734,0.5687499999999999,0.4899951519949432,0.4923021929114,0.48124999999999996,65,142,0.6226304974760335,0.5519773913794623,0.6940441246387298,0
g3ring,b031,6.0,eb1168,6.4,0.31,-,-,796,4.314070351758794,0.20261437908496732,1.0605913595447607,0.4988047441814162,0.7153848466185473,0.038944723618090454,0.204,0.5190677562170484,0.5140738307071439,0.48124999999999996,0.3853580318279208,0.3889566112165237,0.39375,155,117,0.5190677562170484,0.46016645054702876,0.5458329062718424,1
