leg,config,n,weight,mean_KE_eV
s1,s1c4v70,17,0.0027,0.0294
s1,s1c4v70,18,0.0012,0.0201
s1,s1c4v75,0,0.1633,1.2957
s1,s1c4v75,1,0.1908,0.9668
s1,s1c4v75,2,0.1038,0.7009
s1,s1c4v75,3,0.0869,0.5156
s1,s1c4v75,4,0.0677,0.3821
s1,s1c4v75,5,0.0625,0.2906
s1,s1c4v75,6,0.0511,0.2351
s1,s1c4v75,7,0.0472,0.1909
s1,s1c4v75,8,0.042,0.158
s1,s1c4v75,9,0.0374,0.1294
s1,s1c4v75,10,0.0366,0.1046
s1,s1c4v75,11,0.03,0.0871
s1,s1c4v75,12,0.0249,0.0776
s1,s1c4v75,13,0.0179,0.0674
s1,s1c4v75,14,0.0131,0.0585
s1,s1c4v75,15,0.0103,0.0464
s1,s1c4v75,16,0.0073,0.041
s1,s1c4v75,17,0.0044,0.0345
s1,s1c4v75,18,0.0021,0.0273
s1,s1c4v75,19,0.0006,0.0189
s1,s1c4v80,0,0.1527,1.204
s1,s1c4v80,1,0.1805,0.8347
s1,s1c4v80,2,0.0954,0.5437
s1,s1c4v80,3,0.0764,0.3934
s1,s1c4v80,4,0.0661,0.3111
s1,s1c4v80,5,0.059,0.258
s1,s1c4v80,6,0.0564,0.211
s1,s1c4v80,7,0.0482,0.1811
s1,s1c4v80,8,0.0464,0.1511
s1,s1c4v80,9,0.0429,0.1282
s1,s1c4v80,10,0.0377,0.1059
s1,s1c4v80,11,0.0366,0.0882
s1,s1c4v80,12,0.0289,0.0807
s1,s1c4v80,13,0.0242,0.0704
s1,s1c4v80,14,0.0169,0.0654
s1,s1c4v80,15,0.0123,0.0563
s1,s1c4v80,16,0.0091,0.0461
s1,s1c4v80,17,0.0059,0.0396
s1,s1c4v80,18,0.0034,0.0323
s1,s1c4v80,19,0.001,0.0255
s1,s1c4v85,0,0.1398,1.1022
s1,s1c4v85,1,0.1648,0.7016
s1,s1c4v85,2,0.0868,0.4446
s1,s1c4v85,3,0.0736,0.3484
s1,s1c4v85,4,0.0683,0.2853
s1,s1c4v85,5,0.0592,0.2422
s1,s1c4v85,6,0.0553,0.2101
s1,s1c4v85,7,0.0546,0.1771
s1,s1c4v85,8,0.0471,0.1531
s1,s1c4v85,9,0.0465,0.1312
s1,s1c4v85,10,0.0429,0.1107
s1,s1c4v85,11,0.0388,0.0932
s1,s1c4v85,12,0.0339,0.0843
s1,s1c4v85,13,0.0267,0.075
s1,s1c4v85,14,0.0223,0.0688
s1,s1c4v85,15,0.0144,0.063
s1,s1c4v85,16,0.0112,0.0527
s1,s1c4v85,17,0.0077,0.0426
s1,s1c4v85,18,0.0043,0.034
s1,s1c4v85,19,0.0016,0.0273
