arm,a,c,E_bind_tag,E_bind_eV,ebind_exception,m,F97,phi,subbare,trapped_frac,det_yield,K655_q05,K655_q50,K655_q95,v_inf_det_q50,t_exit_q50,R_det_q05,R_det_q50,R_det_q95,R_src_q05,R_src_q50,R_src_q95
lin,22.5,,eb154,0.154,1,20000,218.2,0.522,1,0.0005,0.9995,0.3651,0.5413,1.0195,10.799,3.53,34.56,48.46,68.32,34.56,48.47,68.39
lin,25.0,,eb0482,0.0482,1,20000,242.5,0.579,1,0.0004,0.9996,0.3675,0.5495,1.0608,10.736,3.58,34.56,48.46,68.35,34.56,48.47,68.39
lin,25.0,,eb1168,0.11675778353879479,0,20000,242.5,0.579,1,0.0013,0.9987,0.3689,0.5515,1.0667,10.46,3.59,34.56,48.45,68.16,34.56,48.47,68.39
lin,25.0,,eb154,0.154,1,20000,242.5,0.579,1,0.0018,0.9982,0.3697,0.5526,1.0701,10.308,3.59,34.56,48.44,68.09,34.56,48.47,68.39
lin,27.5,,eb0482,0.0482,1,20000,266.8,0.637,0,0.0013,0.9987,0.3722,0.5611,1.1166,10.261,3.65,34.56,48.45,68.16,34.56,48.47,68.39
lin,27.5,,eb1168,0.11675778353879479,0,20000,266.8,0.637,0,0.0031,0.9969,0.3736,0.5633,1.1248,9.975,3.66,34.55,48.43,67.93,34.56,48.47,68.39
lin,27.5,,eb154,0.154,1,20000,266.8,0.637,0,0.0049,0.9951,0.3744,0.5645,1.1296,9.819,3.67,34.55,48.41,67.8,34.56,48.47,68.39
lin,30.0,,eb0482,0.0482,1,20000,291.0,0.695,0,0.003,0.997,0.3769,0.5734,1.1823,9.788,3.73,34.55,48.43,67.94,34.56,48.47,68.39
lin,30.0,,eb1168,0.11675778353879479,0,20000,291.0,0.695,0,0.0076,0.9924,0.3785,0.5759,1.1942,9.499,3.74,34.54,48.37,67.57,34.56,48.47,68.39
lin,30.0,,eb154,0.154,1,20000,291.0,0.695,0,0.0107,0.9893,0.3793,0.5773,1.2015,9.338,3.74,34.53,48.33,67.39,34.56,48.47,68.39
lin,32.5,,eb0482,0.0482,1,20000,315.2,0.753,0,0.007,0.993,0.3819,0.5866,1.2616,9.324,3.81,34.54,48.38,67.6,34.56,48.47,68.39
lin,32.5,,eb1168,0.11675778353879479,0,20000,315.2,0.753,0,0.0143,0.9857,0.3835,0.5894,1.2801,9.03,3.81,34.51,48.28,67.16,34.56,48.47,68.39
lin,32.5,,eb154,0.154,1,20000,315.2,0.753,0,0.0194,0.9806,0.3845,0.591,1.2923,8.87,3.82,34.49,48.21,66.99,34.56,48.47,68.39
lin,35.0,,eb0482,0.0482,1,20000,339.5,0.811,0,0.0128,0.9872,0.387,0.6006,1.3606,8.868,3.89,34.52,48.31,67.25,34.56,48.47,68.39
lin,35.0,,eb1168,0.11675778353879479,0,20000,339.5,0.811,0,0.0246,0.9754,0.3888,0.6038,1.3931,8.578,3.89,34.48,48.15,66.73,34.56,48.47,68.39
lin,35.0,,eb154,0.154,1,20000,339.5,0.811,0,0.0325,0.9675,0.3898,0.6057,1.4173,8.418,3.9,34.46,48.06,66.44,34.56,48.47,68.39
lin,37.5,,eb0482,0.0482,1,20000,363.8,0.869,0,0.0215,0.9786,0.3924,0.6157,1.492,8.427,3.97,34.48,48.19,66.91,34.56,48.47,68.39
lin,37.5,,eb1168,0.11675778353879479,0,20000,363.8,0.869,0,0.0386,0.9615,0.3943,0.6194,1.5627,8.14,3.97,34.44,47.98,66.26,34.56,48.47,68.39
lin,37.5,,eb154,0.154,1,20000,363.8,0.869,0,0.0494,0.9506,0.3953,0.6215,1.667,7.982,3.97,34.41,47.89,65.9,34.56,48.47,68.39
lin,40.0,,eb0482,0.0482,1,20000,388.0,0.927,0,0.0332,0.9668,0.398,0.6319,1.684,8.003,4.05,34.45,48.05,66.45,34.56,48.47,68.39
lin,40.0,,eb1168,0.11675778353879479,0,20000,388.0,0.927,0,0.0571,0.9429,0.4,0.6362,18.4374,7.725,4.05,34.38,47.78,65.71,34.56,48.47,68.39
lin,40.0,,eb154,0.154,1,20000,388.0,0.927,0,0.0712,0.9288,0.4011,0.6387,20.471,7.572,4.05,34.31,47.59,65.3,34.56,48.47,68.39
lin,42.5,,eb0482,0.0482,1,20000,412.2,0.985,0,0.0476,0.9524,0.4038,0.6495,2.0825,7.589,4.14,34.41,47.9,65.98,34.56,48.47,68.39
lin,42.5,,eb1168,0.11675778353879479,0,20000,412.2,0.985,0,0.0788,0.9212,0.4059,0.6545,20.5744,7.327,4.13,34.28,47.5,65.2,34.56,48.47,68.39
lin,42.5,,eb154,0.154,1,20000,412.2,0.985,0,0.0971,0.9029,0.4072,0.6574,21.2674,7.189,4.12,34.2,47.26,64.9,34.56,48.47,68.39
lin,45.0,,eb0482,0.0482,1,20000,436.5,1.043,0,0.0661,0.9339,0.4098,0.6686,18.2962,7.204,4.22,34.35,47.65,65.5,34.56,48.47,68.39
lin,45.0,,eb1168,0.11675778353879479,0,20000,436.5,1.043,0,0.1053,0.8946,0.4122,0.6745,21.2066,6.963,4.2,34.19,47.17,64.8,34.56,48.47,68.39
lin,45.0,,eb154,0.154,1,20000,436.5,1.043,0,0.1256,0.8744,0.4135,0.678,21.6303,6.822,4.2,34.12,46.94,64.48,34.56,48.47,68.39
lin,47.5,,eb0482,0.0482,1,20000,460.7,1.101,0,0.0873,0.9127,0.4161,0.6894,19.7326,6.836,4.3,34.24,47.39,65.12,34.56,48.47,68.39
lin,47.5,,eb1168,0.11675778353879479,0,20000,460.7,1.101,0,0.1339,0.8661,0.4187,0.6966,21.5375,6.612,4.28,34.07,46.85,64.38,34.56,48.47,68.39
lin,47.5,,eb154,0.154,1,20000,460.7,1.101,0,0.16,0.84,0.4201,0.7008,21.8519,6.494,4.27,33.98,46.52,63.87,34.56,48.47,68.39
lin,50.0,,eb0482,0.0482,1,20000,485.0,1.159,0,0.1119,0.8881,0.4227,0.7124,20.4501,6.497,4.38,34.17,47.08,64.79,34.56,48.47,68.39
lin,50.0,,eb1168,0.11675778353879479,0,20000,485.0,1.159,0,0.1673,0.8327,0.4255,0.721,21.7585,6.299,4.35,33.97,46.44,63.8,34.56,48.47,68.39
lin,50.0,,eb154,0.154,1,20000,485.0,1.159,0,0.1967,0.8033,0.4271,0.7263,22.0117,6.185,4.34,33.86,46.12,63.46,34.56,48.47,68.39
lin,52.5,,eb0482,0.0482,1,20000,509.2,1.217,0,0.1379,0.862,0.4297,0.7378,20.901,6.173,4.46,34.06,46.78,64.48,34.56,48.47,68.39
lin,52.5,,eb1168,0.11675778353879479,0,20000,509.2,1.217,0,0.2027,0.7973,0.4327,0.7485,21.9247,6.005,4.42,33.83,46.06,63.45,34.56,48.47,68.39
lin,52.5,,eb154,0.154,1,20000,509.2,1.217,0,0.2369,0.7631,0.4344,0.7551,22.1242,5.904,4.41,33.66,45.71,62.96,34.56,48.47,68.39
lin,55.0,,eb0482,0.0482,1,20000,533.5,1.275,0,0.1675,0.8325,0.4369,0.7663,21.2472,5.881,4.54,33.97,46.45,64.0,34.56,48.47,68.39
lin,55.0,,eb1168,0.11675778353879479,0,20000,533.5,1.275,0,0.2409,0.7591,0.4402,0.7798,22.0467,5.732,4.49,33.63,45.67,62.96,34.56,48.47,68.39
lin,55.0,,eb154,0.154,1,20000,533.5,1.275,0,0.2795,0.7205,0.4421,0.7883,22.2116,5.648,4.47,33.45,45.3,62.53,34.56,48.47,68.39
lin,57.5,,eb0482,0.0482,1,20000,557.8,1.333,0,0.1993,0.8007,0.4446,0.7984,21.5185,5.608,4.63,33.84,46.11,63.62,34.56,48.47,68.39
lin,57.5,,eb1168,0.11675778353879479,0,20000,557.8,1.333,0,0.2814,0.7186,0.4481,0.8158,22.1472,5.489,4.56,33.44,45.3,62.55,34.56,48.47,68.39
lin,57.5,,eb154,0.154,1,20000,557.8,1.333,0,0.3239,0.6761,0.4502,0.8273,22.2718,5.414,4.53,33.21,44.85,62.06,34.56,48.47,68.39
lin,60.0,,eb0482,0.0482,1,20000,582.0,1.391,0,0.2318,0.7682,0.4526,0.8352,21.7369,5.352,4.71,33.69,45.78,63.32,34.56,48.47,68.39
lin,60.0,,eb1168,0.11675778353879479,0,20000,582.0,1.391,0,0.3239,0.6761,0.4565,0.8584,22.2198,5.269,4.63,33.21,44.85,62.13,34.56,48.47,68.39
lin,60.0,,eb154,0.154,1,20000,582.0,1.391,0,0.3698,0.6302,0.4588,0.8747,22.3326,5.215,4.6,33.01,44.34,61.61,34.56,48.47,68.39
