v_c,E_bind_tag,tau_ps,E0_eV,n,weight,mean_KE_eV
5.5,eb0482,6.4,0.31,20,0.0022,0.0098
5.5,eb1168,4.8,0.36,0,0.092,0.8026
5.5,eb1168,4.8,0.36,1,0.1754,0.6937
5.5,eb1168,4.8,0.36,2,0.1342,0.6003
5.5,eb1168,4.8,0.36,3,0.1075,0.5266
5.5,eb1168,4.8,0.36,4,0.0759,0.4627
5.5,eb1168,4.8,0.36,5,0.0663,0.4064
5.5,eb1168,4.8,0.36,6,0.0574,0.346
5.5,eb1168,4.8,0.36,7,0.0506,0.288
5.5,eb1168,4.8,0.36,8,0.0418,0.2321
5.5,eb1168,4.8,0.36,9,0.0361,0.1893
5.5,eb1168,4.8,0.36,10,0.0292,0.155
5.5,eb1168,4.8,0.36,11,0.0263,0.1287
5.5,eb1168,4.8,0.36,12,0.0232,0.1061
5.5,eb1168,4.8,0.36,13,0.0191,0.0867
5.5,eb1168,4.8,0.36,14,0.018,0.0675
5.5,eb1168,4.8,0.36,15,0.0166,0.0514
5.5,eb1168,4.8,0.36,16,0.014,0.0353
5.5,eb1168,4.8,0.36,17,0.0116,0.0222
5.5,eb1168,4.8,0.36,18,0.0048,0.0141
5.5,eb1168,4.8,0.37,0,0.1339,0.7776
5.5,eb1168,4.8,0.37,1,0.1816,0.6601
5.5,eb1168,4.8,0.37,2,0.1291,0.5676
5.5,eb1168,4.8,0.37,3,0.1016,0.4937
5.5,eb1168,4.8,0.37,4,0.0694,0.4317
5.5,eb1168,4.8,0.37,5,0.0591,0.3774
5.5,eb1168,4.8,0.37,6,0.0554,0.3194
5.5,eb1168,4.8,0.37,7,0.0453,0.2623
5.5,eb1168,4.8,0.37,8,0.0376,0.2145
5.5,eb1168,4.8,0.37,9,0.0331,0.1773
5.5,eb1168,4.8,0.37,10,0.0283,0.1455
5.5,eb1168,4.8,0.37,11,0.024,0.1217
5.5,eb1168,4.8,0.37,12,0.0226,0.1004
5.5,eb1168,4.8,0.37,13,0.018,0.0814
5.5,eb1168,4.8,0.37,14,0.0168,0.0645
5.5,eb1168,4.8,0.37,15,0.0163,0.0487
5.5,eb1168,4.8,0.37,16,0.0129,0.0331
5.5,eb1168,4.8,0.37,17,0.011,0.021
5.5,eb1168,4.8,0.37,18,0.004,0.0136
5.5,eb154,4.8,0.36,0,0.0919,0.782
5.5,eb154,4.8,0.36,1,0.1779,0.6734
5.5,eb154,4.8,0.36,2,0.1377,0.5797
5.5,eb154,4.8,0.36,3,0.1102,0.5056
5.5,eb154,4.8,0.36,4,0.0777,0.4414
5.5,eb154,4.8,0.36,5,0.0676,0.3848
5.5,eb154,4.8,0.36,6,0.0584,0.3248
5.5,eb154,4.8,0.36,7,0.0522,0.2674
5.5,eb154,4.8,0.36,8,0.0426,0.2153
5.5,eb154,4.8,0.36,9,0.0373,0.1747
5.5,eb154,4.8,0.36,10,0.0298,0.141
5.5,eb154,4.8,0.36,11,0.0271,0.1141
5.5,eb154,4.8,0.36,12,0.0236,0.0919
5.5,eb154,4.8,0.36,13,0.02,0.0713
5.5,eb154,4.8,0.36,14,0.0171,0.0508
5.5,eb154,4.8,0.36,15,0.0153,0.0355
5.5,eb154,4.8,0.36,16,0.0118,0.0211
5.5,eb154,4.8,0.36,17,0.0017,0.0228
6.0,eb0482,6.4,0.33,0,0.1233,0.5939
6.0,eb0482,6.4,0.33,1,0.1785,0.4276
6.0,eb0482,6.4,0.33,2,0.1134,0.2981
6.0,eb0482,6.4,0.33,3,0.0822,0.2262
6.0,eb0482,6.4,0.33,4,0.0576,0.1888
6.0,eb0482,6.4,0.33,5,0.0507,0.1658
6.0,eb0482,6.4,0.33,6,0.0442,0.147
6.0,eb0482,6.4,0.33,7,0.0435,0.1318
6.0,eb0482,6.4,0.33,8,0.0391,0.1197
6.0,eb0482,6.4,0.33,9,0.0352,0.1072
6.0,eb0482,6.4,0.33,10,0.0319,0.097
6.0,eb0482,6.4,0.33,11,0.0294,0.0876
6.0,eb0482,6.4,0.33,12,0.0265,0.0779
6.0,eb0482,6.4,0.33,13,0.0251,0.0707
6.0,eb0482,6.4,0.33,14,0.0231,0.0621
6.0,eb0482,6.4,0.33,15,0.0206,0.0535
6.0,eb0482,6.4,0.33,16,0.0202,0.0463
6.0,eb0482,6.4,0.33,17,0.0177,0.0371
6.0,eb0482,6.4,0.33,18,0.0171,0.029
6.0,eb0482,6.4,0.33,19,0.0142,0.0201
6.0,eb0482,6.4,0.33,20,0.0064,0.0144
6.0,eb0482,6.4,0.34,0,0.1753,0.5587
6.0,eb0482,6.4,0.34,1,0.173,0.3797
6.0,eb0482,6.4,0.34,2,0.1031,0.2618
6.0,eb0482,6.4,0.34,3,0.0762,0.2044
6.0,eb0482,6.4,0.34,4,0.0521,0.1743
6.0,eb0482,6.4,0.34,5,0.0469,0.1546
6.0,eb0482,6.4,0.34,6,0.0412,0.1386
6.0,eb0482,6.4,0.34,7,0.0416,0.1253
6.0,eb0482,6.4,0.34,8,0.0363,0.1134
6.0,eb0482,6.4,0.34,9,0.0328,0.1031
6.0,eb0482,6.4,0.34,10,0.031,0.0931
6.0,eb0482,6.4,0.34,11,0.0268,0.0836
6.0,eb0482,6.4,0.34,12,0.0259,0.0755
6.0,eb0482,6.4,0.34,13,0.024,0.0684
6.0,eb0482,6.4,0.34,14,0.0208,0.06
6.0,eb0482,6.4,0.34,15,0.0203,0.0523
6.0,eb0482,6.4,0.34,16,0.0193,0.0448
6.0,eb0482,6.4,0.34,17,0.0173,0.0364
6.0,eb0482,6.4,0.34,18,0.0166,0.0281
6.0,eb0482,6.4,0.34,19,0.0137,0.0195
6.0,eb0482,6.4,0.34,20,0.0058,0.0147
6.0,eb0482,6.4,0.35,0,0.2264,0.5284
6.0,eb0482,6.4,0.35,1,0.1643,0.3355
6.0,eb0482,6.4,0.35,2,0.0928,0.2331
6.0,eb0482,6.4,0.35,3,0.0709,0.1876
6.0,eb0482,6.4,0.35,4,0.0481,0.1622
6.0,eb0482,6.4,0.35,5,0.0422,0.1449
6.0,eb0482,6.4,0.35,6,0.0406,0.1312
6.0,eb0482,6.4,0.35,7,0.0384,0.1198
6.0,eb0482,6.4,0.35,8,0.0343,0.1079
6.0,eb0482,6.4,0.35,9,0.0303,0.099
6.0,eb0482,6.4,0.35,10,0.0294,0.0898
6.0,eb0482,6.4,0.35,11,0.026,0.0807
6.0,eb0482,6.4,0.35,12,0.0242,0.073
6.0,eb0482,6.4,0.35,13,0.023,0.0661
6.0,eb0482,6.4,0.35,14,0.0198,0.0586
6.0,eb0482,6.4,0.35,15,0.0197,0.0506
6.0,eb0482,6.4,0.35,16,0.0183,0.0437
6.0,eb0482,6.4,0.35,17,0.0169,0.0354
6.0,eb0482,6.4,0.35,18,0.0158,0.0274
6.0,eb0482,6.4,0.35,19,0.0134,0.0191
6.0,eb0482,6.4,0.35,20,0.0052,0.0145
6.0,eb0482,6.4,0.36,0,0.2748,0.502
6.0,eb0482,6.4,0.36,1,0.1525,0.2965
6.0,eb0482,6.4,0.36,2,0.0855,0.2108
6.0,eb0482,6.4,0.36,3,0.0652,0.1736
6.0,eb0482,6.4,0.36,4,0.0453,0.1516
6.0,eb0482,6.4,0.36,5,0.0386,0.1367
6.0,eb0482,6.4,0.36,6,0.039,0.1245
6.0,eb0482,6.4,0.36,7,0.0354,0.1147
6.0,eb0482,6.4,0.36,8,0.0325,0.1035
6.0,eb0482,6.4,0.36,9,0.0295,0.0948
6.0,eb0482,6.4,0.36,10,0.0268,0.0866
6.0,eb0482,6.4,0.36,11,0.0249,0.0778
6.0,eb0482,6.4,0.36,12,0.0231,0.0715
6.0,eb0482,6.4,0.36,13,0.0227,0.0637
6.0,eb0482,6.4,0.36,14,0.0188,0.0563
6.0,eb0482,6.4,0.36,15,0.0183,0.0496
6.0,eb0482,6.4,0.36,16,0.0177,0.0424
6.0,eb0482,6.4,0.36,17,0.0165,0.0347
6.0,eb0482,6.4,0.36,18,0.0153,0.0266
6.0,eb0482,6.4,0.36,19,0.0127,0.0185
6.0,eb0482,6.4,0.36,20,0.0047,0.0146
6.0,eb0482,6.4,0.37,0,0.3191,0.4789
6.0,eb0482,6.4,0.37,1,0.141,0.2634
6.0,eb0482,6.4,0.37,2,0.0788,0.1928
6.0,eb0482,6.4,0.37,3,0.0606,0.162
6.0,eb0482,6.4,0.37,4,0.0408,0.143
6.0,eb0482,6.4,0.37,5,0.0381,0.13
6.0,eb0482,6.4,0.37,6,0.0374,0.1191
6.0,eb0482,6.4,0.37,7,0.0335,0.1086
6.0,eb0482,6.4,0.37,8,0.0293,0.0999
6.0,eb0482,6.4,0.37,9,0.0288,0.0913
6.0,eb0482,6.4,0.37,10,0.0246,0.0828
6.0,eb0482,6.4,0.37,11,0.0238,0.0756
6.0,eb0482,6.4,0.37,12,0.0224,0.0696
6.0,eb0482,6.4,0.37,13,0.0214,0.062
6.0,eb0482,6.4,0.37,14,0.0179,0.0547
6.0,eb0482,6.4,0.37,15,0.0184,0.0484
6.0,eb0482,6.4,0.37,16,0.0169,0.0409
6.0,eb0482,6.4,0.37,17,0.016,0.0338
6.0,eb0482,6.4,0.37,18,0.0148,0.0258
6.0,eb0482,6.4,0.37,19,0.0122,0.018
6.0,eb0482,6.4,0.37,20,0.0042,0.015
6.0,eb0482,9.6,0.27,0,0.0339,0.6864
6.0,eb0482,9.6,0.27,1,0.2447,0.4891
6.0,eb0482,9.6,0.27,2,0.1665,0.2962
6.0,eb0482,9.6,0.27,3,0.1106,0.1986
6.0,eb0482,9.6,0.27,4,0.0691,0.1565
6.0,eb0482,9.6,0.27,5,0.0576,0.1324
6.0,eb0482,9.6,0.27,6,0.0522,0.1149
6.0,eb0482,9.6,0.27,7,0.0437,0.0997
6.0,eb0482,9.6,0.27,8,0.038,0.0874
6.0,eb0482,9.6,0.27,9,0.032,0.0761
6.0,eb0482,9.6,0.27,10,0.0282,0.068
6.0,eb0482,9.6,0.27,11,0.0249,0.0591
6.0,eb0482,9.6,0.27,12,0.0207,0.0508
6.0,eb0482,9.6,0.27,13,0.0195,0.0448
6.0,eb0482,9.6,0.27,14,0.0163,0.0365
6.0,eb0482,9.6,0.27,15,0.0144,0.0296
6.0,eb0482,9.6,0.27,16,0.0127,0.0239
6.0,eb0482,9.6,0.27,17,0.0098,0.0173
6.0,eb0482,9.6,0.27,18,0.0048,0.014
6.0,eb1168,6.4,0.32,0,0.0807,0.5976
6.0,eb1168,6.4,0.32,1,0.1916,0.4433
6.0,eb1168,6.4,0.32,2,0.1336,0.31
6.0,eb1168,6.4,0.32,3,0.102,0.2311
6.0,eb1168,6.4,0.32,4,0.0686,0.1873
6.0,eb1168,6.4,0.32,5,0.0616,0.1601
6.0,eb1168,6.4,0.32,6,0.0559,0.1379
6.0,eb1168,6.4,0.32,7,0.047,0.1187
6.0,eb1168,6.4,0.32,8,0.0467,0.104
6.0,eb1168,6.4,0.32,9,0.0415,0.0911
6.0,eb1168,6.4,0.32,10,0.037,0.0769
6.0,eb1168,6.4,0.32,11,0.0339,0.065
6.0,eb1168,6.4,0.32,12,0.0291,0.0536
6.0,eb1168,6.4,0.32,13,0.0264,0.0419
6.0,eb1168,6.4,0.32,14,0.0231,0.035
6.0,eb1168,6.4,0.32,15,0.0163,0.0283
6.0,eb1168,6.4,0.32,16,0.0045,0.0335
6.0,eb1168,6.4,0.33,0,0.1318,0.5584
6.0,eb1168,6.4,0.33,1,0.1958,0.3943
6.0,eb1168,6.4,0.33,2,0.1247,0.2697
6.0,eb1168,6.4,0.33,3,0.0924,0.2061
6.0,eb1168,6.4,0.33,4,0.0635,0.1699
6.0,eb1168,6.4,0.33,5,0.0563,0.147
6.0,eb1168,6.4,0.33,6,0.0506,0.1279
6.0,eb1168,6.4,0.33,7,0.0451,0.111
6.0,eb1168,6.4,0.33,8,0.044,0.0982
6.0,eb1168,6.4,0.33,9,0.0386,0.0839
6.0,eb1168,6.4,0.33,10,0.0337,0.0731
6.0,eb1168,6.4,0.33,11,0.0326,0.0615
6.0,eb1168,6.4,0.33,12,0.027,0.0496
6.0,eb1168,6.4,0.33,13,0.0253,0.0399
6.0,eb1168,6.4,0.33,14,0.021,0.0329
6.0,eb1168,6.4,0.33,15,0.0141,0.0283
6.0,eb1168,6.4,0.33,16,0.0032,0.0355
6.0,eb154,4.8,0.4,0,0.1915,0.5075
6.0,eb154,4.8,0.4,1,0.1543,0.3533
6.0,eb154,4.8,0.4,2,0.1024,0.2638
6.0,eb154,4.8,0.4,3,0.0798,0.2161
6.0,eb154,4.8,0.4,4,0.0568,0.1853
6.0,eb154,4.8,0.4,5,0.0531,0.1632
6.0,eb154,4.8,0.4,6,0.0498,0.1457
6.0,eb154,4.8,0.4,7,0.0461,0.1292
6.0,eb154,4.8,0.4,8,0.0409,0.1128
6.0,eb154,4.8,0.4,9,0.0405,0.1006
6.0,eb154,4.8,0.4,10,0.0395,0.0885
6.0,eb154,4.8,0.4,11,0.0355,0.0756
6.0,eb154,4.8,0.4,12,0.0323,0.0634
6.0,eb154,4.8,0.4,13,0.0295,0.0531
6.0,eb154,4.8,0.4,14,0.026,0.0431
6.0,eb154,4.8,0.4,15,0.0169,0.0349
6.0,eb154,4.8,0.4,16,0.0047,0.0446
6.0,eb154,4.8,0.41,0,0.2287,0.488
6.0,eb154,4.8,0.41,1,0.1502,0.3254
6.0,eb154,4.8,0.41,2,0.0983,0.2439
6.0,eb154,4.8,0.41,3,0.0761,0.2013
6.0,eb154,4.8,0.41,4,0.0519,0.1737
6.0,eb154,4.8,0.41,5,0.0519,0.1548
6.0,eb154,4.8,0.41,6,0.0471,0.1378
6.0,eb154,4.8,0.41,7,0.0442,0.1225
6.0,eb154,4.8,0.41,8,0.0389,0.1083
6.0,eb154,4.8,0.41,9,0.0397,0.0952
6.0,eb154,4.8,0.41,10,0.0369,0.0857
6.0,eb154,4.8,0.41,11,0.0346,0.0712
6.0,eb154,4.8,0.41,12,0.03,0.062
6.0,eb154,4.8,0.41,13,0.0284,0.0504
6.0,eb154,4.8,0.41,14,0.0246,0.0401
6.0,eb154,4.8,0.41,15,0.0148,0.0355
6.0,eb154,4.8,0.41,16,0.0035,0.0502
6.5,eb0482,9.6,0.3,0,0.1437,0.3165
6.5,eb0482,9.6,0.3,1,0.1661,0.19
6.5,eb0482,9.6,0.3,2,0.1091,0.1462
6.5,eb0482,9.6,0.3,3,0.0838,0.1247
6.5,eb0482,9.6,0.3,4,0.0607,0.1112
6.5,eb0482,9.6,0.3,5,0.0546,0.1017
6.5,eb0482,9.6,0.3,6,0.0481,0.0927
6.5,eb0482,9.6,0.3,7,0.048,0.0855
6.5,eb0482,9.6,0.3,8,0.043,0.0785
6.5,eb0482,9.6,0.3,9,0.0369,0.0719
6.5,eb0482,9.6,0.3,10,0.035,0.0652
6.5,eb0482,9.6,0.3,11,0.0312,0.0584
6.5,eb0482,9.6,0.3,12,0.0282,0.0533
6.5,eb0482,9.6,0.3,13,0.0252,0.0471
6.5,eb0482,9.6,0.3,14,0.0221,0.0407
6.5,eb0482,9.6,0.3,15,0.0205,0.0349
6.5,eb0482,9.6,0.3,16,0.018,0.028
6.5,eb0482,9.6,0.3,17,0.0153,0.0218
6.5,eb0482,9.6,0.3,18,0.0088,0.0184
6.5,eb0482,9.6,0.3,19,0.0017,0.0184
6.5,eb0482,9.6,0.31,0,0.1973,0.2873
6.5,eb0482,9.6,0.31,1,0.1612,0.1694
6.5,eb0482,9.6,0.31,2,0.1006,0.1342
6.5,eb0482,9.6,0.31,3,0.0779,0.1157
6.5,eb0482,9.6,0.31,4,0.0554,0.1042
6.5,eb0482,9.6,0.31,5,0.0505,0.0958
6.5,eb0482,9.6,0.31,6,0.0452,0.0881
6.5,eb0482,9.6,0.31,7,0.0452,0.0816
6.5,eb0482,9.6,0.31,8,0.0391,0.0744
6.5,eb0482,9.6,0.31,9,0.0354,0.0688
6.5,eb0482,9.6,0.31,10,0.0317,0.0624
6.5,eb0482,9.6,0.31,11,0.0297,0.0562
6.5,eb0482,9.6,0.31,12,0.0265,0.0513
6.5,eb0482,9.6,0.31,13,0.0229,0.0451
6.5,eb0482,9.6,0.31,14,0.0215,0.0393
6.5,eb0482,9.6,0.31,15,0.019,0.0337
6.5,eb0482,9.6,0.31,16,0.0172,0.0272
6.5,eb0482,9.6,0.31,17,0.0145,0.0211
6.5,eb0482,9.6,0.31,18,0.0078,0.0178
6.5,eb0482,9.6,0.31,19,0.0012,0.019
6.5,eb0482,9.6,0.32,0,0.2501,0.2654
6.5,eb0482,9.6,0.32,1,0.1524,0.1531
6.5,eb0482,9.6,0.32,2,0.0922,0.1242
6.5,eb0482,9.6,0.32,3,0.0735,0.1083
6.5,eb0482,9.6,0.32,4,0.0506,0.0983
6.5,eb0482,9.6,0.32,5,0.0455,0.0903
6.5,eb0482,9.6,0.32,6,0.0447,0.0838
6.5,eb0482,9.6,0.32,7,0.0408,0.078
6.5,eb0482,9.6,0.32,8,0.0362,0.0716
6.5,eb0482,9.6,0.32,9,0.0339,0.0657
6.5,eb0482,9.6,0.32,10,0.0293,0.0594
6.5,eb0482,9.6,0.32,11,0.0278,0.0544
6.5,eb0482,9.6,0.32,12,0.0255,0.0492
6.5,eb0482,9.6,0.32,13,0.0213,0.0433
6.5,eb0482,9.6,0.32,14,0.0204,0.0381
6.5,eb0482,9.6,0.32,15,0.0182,0.0321
6.5,eb0482,9.6,0.32,16,0.0164,0.0258
6.5,eb0482,9.6,0.32,17,0.0132,0.0205
6.5,eb0482,9.6,0.32,18,0.0068,0.0179
6.5,eb0482,9.6,0.32,19,0.001,0.0181
6.5,eb0482,12.8,0.26,0,0.0458,0.4179
6.5,eb0482,12.8,0.26,1,0.2158,0.2352
6.5,eb0482,12.8,0.26,2,0.1506,0.1545
6.5,eb0482,12.8,0.26,3,0.1109,0.1232
6.5,eb0482,12.8,0.26,4,0.0742,0.1051
6.5,eb0482,12.8,0.26,5,0.0633,0.0933
6.5,eb0482,12.8,0.26,6,0.0592,0.0834
6.5,eb0482,12.8,0.26,7,0.0504,0.0745
6.5,eb0482,12.8,0.26,8,0.0438,0.0666
6.5,eb0482,12.8,0.26,9,0.0367,0.0588
6.5,eb0482,12.8,0.26,10,0.0322,0.0526
6.5,eb0482,12.8,0.26,11,0.0283,0.046
6.5,eb0482,12.8,0.26,12,0.0232,0.0395
6.5,eb0482,12.8,0.26,13,0.021,0.034
6.5,eb0482,12.8,0.26,14,0.0172,0.0275
6.5,eb0482,12.8,0.26,15,0.0146,0.0219
6.5,eb0482,12.8,0.26,16,0.0094,0.0176
6.5,eb0482,12.8,0.26,17,0.0033,0.0179
6.5,eb1168,9.6,0.28,0,0.0471,0.3926
6.5,eb1168,9.6,0.28,1,0.1849,0.239
6.5,eb1168,9.6,0.28,2,0.1461,0.1665
6.5,eb1168,9.6,0.28,3,0.1191,0.1338
6.5,eb1168,9.6,0.28,4,0.083,0.1142
6.5,eb1168,9.6,0.28,5,0.0759,0.0994
6.5,eb1168,9.6,0.28,6,0.0687,0.0873
6.5,eb1168,9.6,0.28,7,0.0617,0.0764
6.5,eb1168,9.6,0.28,8,0.0542,0.0661
6.5,eb1168,9.6,0.28,9,0.0524,0.0581
6.5,eb1168,9.6,0.28,10,0.0438,0.0468
6.5,eb1168,9.6,0.28,11,0.0344,0.0428
6.5,eb1168,9.6,0.28,12,0.0225,0.0394
6.5,eb1168,9.6,0.28,13,0.0052,0.0537
6.5,eb1168,9.6,0.28,14,0.001,0.0838
7.25,eb0482,12.8,0.31,0,0.193,0.1571
7.25,eb0482,12.8,0.31,1,0.1616,0.1152
7.25,eb0482,12.8,0.31,2,0.1068,0.0982
7.25,eb0482,12.8,0.31,3,0.0841,0.0875
7.25,eb0482,12.8,0.31,4,0.06,0.0804
7.25,eb0482,12.8,0.31,5,0.054,0.0746
7.25,eb0482,12.8,0.31,6,0.0514,0.0695
7.25,eb0482,12.8,0.31,7,0.0472,0.0649
7.25,eb0482,12.8,0.31,8,0.0408,0.0595
7.25,eb0482,12.8,0.31,9,0.0378,0.0545
7.25,eb0482,12.8,0.31,10,0.0329,0.049
7.25,eb0482,12.8,0.31,11,0.0297,0.045
7.25,eb0482,12.8,0.31,12,0.0253,0.0393
7.25,eb0482,12.8,0.31,13,0.0223,0.0345
7.25,eb0482,12.8,0.31,14,0.02,0.0292
7.25,eb0482,12.8,0.31,15,0.0165,0.0238
7.25,eb0482,12.8,0.31,16,0.0119,0.0191
7.25,eb0482,12.8,0.31,17,0.0044,0.0184
