arm,a,c,E_bind_tag,tau_ps,E0_eV,n,weight,mean_KE_eV
linq,35.0,0.0,eb1168,4.8,0.37,17,0.0074,0.0281
linq,35.0,0.0,eb1168,4.8,0.37,18,0.0022,0.0116
linq,35.0,0.0,eb154,4.8,0.37,0,0.1202,0.745
linq,35.0,0.0,eb154,4.8,0.37,1,0.1767,0.648
linq,35.0,0.0,eb154,4.8,0.37,2,0.1306,0.5763
linq,35.0,0.0,eb154,4.8,0.37,3,0.1043,0.5229
linq,35.0,0.0,eb154,4.8,0.37,4,0.0727,0.4808
linq,35.0,0.0,eb154,4.8,0.37,5,0.0642,0.4447
linq,35.0,0.0,eb154,4.8,0.37,6,0.0609,0.4075
linq,35.0,0.0,eb154,4.8,0.37,7,0.051,0.3695
linq,35.0,0.0,eb154,4.8,0.37,8,0.0441,0.3309
linq,35.0,0.0,eb154,4.8,0.37,9,0.0367,0.2913
linq,35.0,0.0,eb154,4.8,0.37,10,0.0323,0.2528
linq,35.0,0.0,eb154,4.8,0.37,11,0.0257,0.2138
linq,35.0,0.0,eb154,4.8,0.37,12,0.0221,0.1746
linq,35.0,0.0,eb154,4.8,0.37,13,0.0184,0.1376
linq,35.0,0.0,eb154,4.8,0.37,14,0.0147,0.1016
linq,35.0,0.0,eb154,4.8,0.37,15,0.0124,0.0677
linq,35.0,0.0,eb154,4.8,0.37,16,0.0089,0.0374
linq,35.0,0.0,eb154,4.8,0.37,17,0.0042,0.0153
linq,35.0,1.0,eb0482,4.8,0.41,0,0.2075,0.5698
linq,35.0,1.0,eb0482,4.8,0.41,1,0.1511,0.458
linq,35.0,1.0,eb0482,4.8,0.41,2,0.1018,0.401
linq,35.0,1.0,eb0482,4.8,0.41,3,0.0817,0.3602
linq,35.0,1.0,eb0482,4.8,0.41,4,0.0577,0.3297
linq,35.0,1.0,eb0482,4.8,0.41,5,0.0531,0.304
linq,35.0,1.0,eb0482,4.8,0.41,6,0.0481,0.2775
linq,35.0,1.0,eb0482,4.8,0.41,7,0.0459,0.2535
linq,35.0,1.0,eb0482,4.8,0.41,8,0.04,0.2277
linq,35.0,1.0,eb0482,4.8,0.41,9,0.036,0.2026
linq,35.0,1.0,eb0482,4.8,0.41,10,0.0305,0.1782
linq,35.0,1.0,eb0482,4.8,0.41,11,0.0282,0.1537
linq,35.0,1.0,eb0482,4.8,0.41,12,0.0241,0.1318
linq,35.0,1.0,eb0482,4.8,0.41,13,0.0215,0.1097
linq,35.0,1.0,eb0482,4.8,0.41,14,0.0182,0.087
linq,35.0,1.0,eb0482,4.8,0.41,15,0.016,0.0685
linq,35.0,1.0,eb0482,4.8,0.41,16,0.0143,0.0496
linq,35.0,1.0,eb0482,4.8,0.41,17,0.0117,0.0334
linq,35.0,1.0,eb0482,4.8,0.41,18,0.0092,0.0192
linq,35.0,1.0,eb0482,4.8,0.41,19,0.0035,0.0134
linq,35.0,1.0,eb0482,4.8,0.42,0,0.2436,0.5559
linq,35.0,1.0,eb0482,4.8,0.42,1,0.1488,0.4384
linq,35.0,1.0,eb0482,4.8,0.42,2,0.096,0.384
linq,35.0,1.0,eb0482,4.8,0.42,3,0.0784,0.3451
linq,35.0,1.0,eb0482,4.8,0.42,4,0.0546,0.3157
linq,35.0,1.0,eb0482,4.8,0.42,5,0.0484,0.2912
linq,35.0,1.0,eb0482,4.8,0.42,6,0.0476,0.2665
linq,35.0,1.0,eb0482,4.8,0.42,7,0.0428,0.2432
linq,35.0,1.0,eb0482,4.8,0.42,8,0.0375,0.2185
linq,35.0,1.0,eb0482,4.8,0.42,9,0.0342,0.1943
linq,35.0,1.0,eb0482,4.8,0.42,10,0.0289,0.1701
linq,35.0,1.0,eb0482,4.8,0.42,11,0.0263,0.148
linq,35.0,1.0,eb0482,4.8,0.42,12,0.0233,0.1264
linq,35.0,1.0,eb0482,4.8,0.42,13,0.0194,0.1056
linq,35.0,1.0,eb0482,4.8,0.42,14,0.018,0.0839
linq,35.0,1.0,eb0482,4.8,0.42,15,0.0156,0.0657
linq,35.0,1.0,eb0482,4.8,0.42,16,0.0135,0.0472
linq,35.0,1.0,eb0482,4.8,0.42,17,0.0113,0.0324
linq,35.0,1.0,eb0482,4.8,0.42,18,0.0088,0.0179
linq,35.0,1.0,eb0482,4.8,0.42,19,0.0031,0.0137
linq,35.0,1.0,eb0482,6.4,0.32,0,0.0726,0.6403
linq,35.0,1.0,eb0482,6.4,0.32,1,0.1892,0.5307
linq,35.0,1.0,eb0482,6.4,0.32,2,0.1468,0.442
linq,35.0,1.0,eb0482,6.4,0.32,3,0.1143,0.3808
linq,35.0,1.0,eb0482,6.4,0.32,4,0.0793,0.3345
linq,35.0,1.0,eb0482,6.4,0.32,5,0.0673,0.2977
linq,35.0,1.0,eb0482,6.4,0.32,6,0.062,0.2623
linq,35.0,1.0,eb0482,6.4,0.32,7,0.052,0.229
linq,35.0,1.0,eb0482,6.4,0.32,8,0.0437,0.1974
linq,35.0,1.0,eb0482,6.4,0.32,9,0.0356,0.1674
linq,35.0,1.0,eb0482,6.4,0.32,10,0.0305,0.1405
linq,35.0,1.0,eb0482,6.4,0.32,11,0.0266,0.1151
linq,35.0,1.0,eb0482,6.4,0.32,12,0.0197,0.0916
linq,35.0,1.0,eb0482,6.4,0.32,13,0.0178,0.071
linq,35.0,1.0,eb0482,6.4,0.32,14,0.0147,0.0528
linq,35.0,1.0,eb0482,6.4,0.32,15,0.0118,0.0359
linq,35.0,1.0,eb0482,6.4,0.32,16,0.0093,0.0239
linq,35.0,1.0,eb0482,6.4,0.32,17,0.006,0.0131
linq,35.0,1.0,eb0482,6.4,0.32,18,0.001,0.0156
linq,35.0,1.0,eb154,4.8,0.4,0,0.1734,0.535
linq,35.0,1.0,eb154,4.8,0.4,1,0.1582,0.4301
linq,35.0,1.0,eb154,4.8,0.4,2,0.1127,0.37
linq,35.0,1.0,eb154,4.8,0.4,3,0.0903,0.3276
linq,35.0,1.0,eb154,4.8,0.4,4,0.0654,0.2938
linq,35.0,1.0,eb154,4.8,0.4,5,0.0607,0.2663
linq,35.0,1.0,eb154,4.8,0.4,6,0.0526,0.2385
linq,35.0,1.0,eb154,4.8,0.4,7,0.0515,0.2113
linq,35.0,1.0,eb154,4.8,0.4,8,0.046,0.1855
linq,35.0,1.0,eb154,4.8,0.4,9,0.04,0.1585
linq,35.0,1.0,eb154,4.8,0.4,10,0.036,0.1324
linq,35.0,1.0,eb154,4.8,0.4,11,0.0299,0.1067
linq,35.0,1.0,eb154,4.8,0.4,12,0.0269,0.0831
linq,35.0,1.0,eb154,4.8,0.4,13,0.0226,0.0625
linq,35.0,1.0,eb154,4.8,0.4,14,0.0189,0.0418
linq,35.0,1.0,eb154,4.8,0.4,15,0.0119,0.0238
linq,35.0,1.0,eb154,4.8,0.4,16,0.0029,0.019
linq,35.0,2.0,eb0482,6.4,0.34,0,0.1143,0.4742
linq,35.0,2.0,eb0482,6.4,0.34,1,0.1744,0.3714
linq,35.0,2.0,eb0482,6.4,0.34,2,0.1264,0.3035
linq,35.0,2.0,eb0482,6.4,0.34,3,0.0995,0.2595
linq,35.0,2.0,eb0482,6.4,0.34,4,0.0701,0.226
linq,35.0,2.0,eb0482,6.4,0.34,5,0.0635,0.2007
linq,35.0,2.0,eb0482,6.4,0.34,6,0.0555,0.1764
linq,35.0,2.0,eb0482,6.4,0.34,7,0.0515,0.1534
linq,35.0,2.0,eb0482,6.4,0.34,8,0.0456,0.134
linq,35.0,2.0,eb0482,6.4,0.34,9,0.0394,0.1132
linq,35.0,2.0,eb0482,6.4,0.34,10,0.0342,0.0955
linq,35.0,2.0,eb0482,6.4,0.34,11,0.029,0.0789
linq,35.0,2.0,eb0482,6.4,0.34,12,0.0258,0.063
linq,35.0,2.0,eb0482,6.4,0.34,13,0.0216,0.051
linq,35.0,2.0,eb0482,6.4,0.34,14,0.0188,0.0395
linq,35.0,2.0,eb0482,6.4,0.34,15,0.0152,0.0293
linq,35.0,2.0,eb0482,6.4,0.34,16,0.0101,0.0204
linq,35.0,2.0,eb0482,6.4,0.34,17,0.0044,0.0208
linq,35.0,2.0,eb0482,6.4,0.34,18,0.0007,0.0445
linq,35.0,2.0,eb0482,6.4,0.35,0,0.1611,0.4516
linq,35.0,2.0,eb0482,6.4,0.35,1,0.176,0.3453
linq,35.0,2.0,eb0482,6.4,0.35,2,0.12,0.2826
linq,35.0,2.0,eb0482,6.4,0.35,3,0.092,0.2414
linq,35.0,2.0,eb0482,6.4,0.35,4,0.0668,0.211
linq,35.0,2.0,eb0482,6.4,0.35,5,0.0585,0.1869
linq,35.0,2.0,eb0482,6.4,0.35,6,0.0502,0.1641
linq,35.0,2.0,eb0482,6.4,0.35,7,0.0492,0.144
linq,35.0,2.0,eb0482,6.4,0.35,8,0.0418,0.1245
linq,35.0,2.0,eb0482,6.4,0.35,9,0.0356,0.1066
linq,35.0,2.0,eb0482,6.4,0.35,10,0.033,0.0897
linq,35.0,2.0,eb0482,6.4,0.35,11,0.0264,0.0729
linq,35.0,2.0,eb0482,6.4,0.35,12,0.0237,0.0596
linq,35.0,2.0,eb0482,6.4,0.35,13,0.0207,0.0486
linq,35.0,2.0,eb0482,6.4,0.35,14,0.0179,0.037
linq,35.0,2.0,eb0482,6.4,0.35,15,0.0138,0.0273
linq,35.0,2.0,eb0482,6.4,0.35,16,0.0092,0.0199
linq,35.0,2.0,eb0482,6.4,0.35,17,0.0037,0.0228
linq,35.0,3.0,eb0482,6.4,0.37,0,0.1859,0.3436
linq,35.0,3.0,eb0482,6.4,0.37,1,0.1561,0.2517
linq,35.0,3.0,eb0482,6.4,0.37,2,0.1074,0.2063
linq,35.0,3.0,eb0482,6.4,0.37,3,0.0849,0.178
linq,35.0,3.0,eb0482,6.4,0.37,4,0.0594,0.1563
linq,35.0,3.0,eb0482,6.4,0.37,5,0.0579,0.1396
linq,35.0,3.0,eb0482,6.4,0.37,6,0.0508,0.1242
linq,35.0,3.0,eb0482,6.4,0.37,7,0.0466,0.1098
linq,35.0,3.0,eb0482,6.4,0.37,8,0.0409,0.0962
linq,35.0,3.0,eb0482,6.4,0.37,9,0.0406,0.0839
linq,35.0,3.0,eb0482,6.4,0.37,10,0.0357,0.0738
linq,35.0,3.0,eb0482,6.4,0.37,11,0.0312,0.0612
linq,35.0,3.0,eb0482,6.4,0.37,12,0.0263,0.0535
linq,35.0,3.0,eb0482,6.4,0.37,13,0.025,0.0443
linq,35.0,3.0,eb0482,6.4,0.37,14,0.0201,0.0357
linq,35.0,3.0,eb0482,6.4,0.37,15,0.0154,0.0299
linq,35.0,3.0,eb0482,6.4,0.37,16,0.0106,0.0266
linq,35.0,3.0,eb0482,6.4,0.37,17,0.0035,0.0429
linq,35.0,3.0,eb0482,6.4,0.37,18,0.0012,0.0589
linq,35.0,6.13,eb0482,9.6,0.32,0,0.1141,0.2016
linq,35.0,6.13,eb0482,9.6,0.32,1,0.1685,0.1482
linq,35.0,6.13,eb0482,9.6,0.32,2,0.1248,0.1196
linq,35.0,6.13,eb0482,9.6,0.32,3,0.1007,0.1036
linq,35.0,6.13,eb0482,9.6,0.32,4,0.0746,0.0931
linq,35.0,6.13,eb0482,9.6,0.32,5,0.0689,0.0854
linq,35.0,6.13,eb0482,9.6,0.32,6,0.062,0.0792
linq,35.0,6.13,eb0482,9.6,0.32,7,0.054,0.072
linq,35.0,6.13,eb0482,9.6,0.32,8,0.0501,0.0669
linq,35.0,6.13,eb0482,9.6,0.32,9,0.0441,0.0629
linq,35.0,6.13,eb0482,9.6,0.32,10,0.0389,0.0593
linq,35.0,6.13,eb0482,9.6,0.32,11,0.0314,0.0565
linq,35.0,6.13,eb0482,9.6,0.32,12,0.0255,0.0585
linq,35.0,6.13,eb0482,9.6,0.32,13,0.0169,0.0643
linq,35.0,6.13,eb0482,9.6,0.32,14,0.0095,0.0727
linq,35.0,6.13,eb0482,9.6,0.32,15,0.0068,0.0805
linq,35.0,6.13,eb0482,9.6,0.32,16,0.0036,0.0872
linq,35.0,6.13,eb0482,9.6,0.32,17,0.0029,0.086
linq,35.0,6.13,eb0482,9.6,0.32,18,0.0021,0.0851
linq,35.0,9.0,eb0482,12.8,0.31,0,0.1253,0.1365
linq,35.0,9.0,eb0482,12.8,0.31,1,0.1695,0.1067
linq,35.0,9.0,eb0482,12.8,0.31,2,0.1216,0.0922
linq,35.0,9.0,eb0482,12.8,0.31,3,0.1043,0.085
linq,35.0,9.0,eb0482,12.8,0.31,4,0.0712,0.0807
linq,35.0,9.0,eb0482,12.8,0.31,5,0.0662,0.0779
linq,35.0,9.0,eb0482,12.8,0.31,6,0.0624,0.0757
linq,35.0,9.0,eb0482,12.8,0.31,7,0.0573,0.0746
linq,35.0,9.0,eb0482,12.8,0.31,8,0.0472,0.0729
linq,35.0,9.0,eb0482,12.8,0.31,9,0.0424,0.0747
linq,35.0,9.0,eb0482,12.8,0.31,10,0.0328,0.0792
linq,35.0,9.0,eb0482,12.8,0.31,11,0.0266,0.0814
linq,35.0,9.0,eb0482,12.8,0.31,12,0.0191,0.0843
linq,35.0,9.0,eb0482,12.8,0.31,13,0.0159,0.0862
linq,35.0,9.0,eb0482,12.8,0.31,14,0.0127,0.0908
linq,35.0,9.0,eb0482,12.8,0.31,15,0.0093,0.0929
linq,35.0,9.0,eb0482,12.8,0.31,16,0.0065,0.0915
linq,35.0,9.0,eb0482,12.8,0.31,17,0.0047,0.0937
linq,35.0,9.0,eb0482,12.8,0.31,18,0.0033,0.0887
linq,35.0,9.0,eb0482,12.8,0.31,19,0.0017,0.0825
