ladder,v_c,tau_ps,E0_eV,m,n,weight,mean_KE_eV
floor1,6.5,3.8,0.23,6000,15,0.0058,0.0719
floor1,6.5,3.8,0.23,6000,16,0.0046,0.0528
floor1,6.5,3.8,0.23,6000,17,0.003,0.033
rq4graded,6.5,3.8,0.23,6000,1,0.2465,1.4401
rq4graded,6.5,3.8,0.23,6000,2,0.1727,1.1737
rq4graded,6.5,3.8,0.23,6000,3,0.1266,0.9813
rq4graded,6.5,3.8,0.23,6000,4,0.0801,0.8378
rq4graded,6.5,3.8,0.23,6000,5,0.075,0.7071
rq4graded,6.5,3.8,0.23,6000,6,0.0621,0.5871
rq4graded,6.5,3.8,0.23,6000,7,0.0537,0.468
rq4graded,6.5,3.8,0.23,6000,8,0.0389,0.358
rq4graded,6.5,3.8,0.23,6000,9,0.0345,0.2727
rq4graded,6.5,3.8,0.23,6000,10,0.0277,0.1991
rq4graded,6.5,3.8,0.23,6000,11,0.0255,0.1543
rq4graded,6.5,3.8,0.23,6000,12,0.0171,0.1212
rq4graded,6.5,3.8,0.23,6000,13,0.015,0.0955
rq4graded,6.5,3.8,0.23,6000,14,0.0083,0.0773
rq4graded,6.5,3.8,0.23,6000,15,0.0058,0.0725
rq4graded,6.5,3.8,0.23,6000,16,0.0046,0.0528
rq4graded,6.5,3.8,0.23,6000,17,0.003,0.033
floor1,6.5,3.8,0.25,6000,0,0.2957,1.3637
floor1,6.5,3.8,0.25,6000,1,0.1571,1.0882
floor1,6.5,3.8,0.25,6000,2,0.0934,0.9342
floor1,6.5,3.8,0.25,6000,3,0.0796,0.818
floor1,6.5,3.8,0.25,6000,4,0.0711,0.6966
floor1,6.5,3.8,0.25,6000,5,0.0608,0.5766
floor1,6.5,3.8,0.25,6000,6,0.0508,0.4701
floor1,6.5,3.8,0.25,6000,7,0.0396,0.3533
floor1,6.5,3.8,0.25,6000,8,0.0333,0.2826
floor1,6.5,3.8,0.25,6000,9,0.0282,0.2092
floor1,6.5,3.8,0.25,6000,10,0.0241,0.1571
floor1,6.5,3.8,0.25,6000,11,0.0197,0.1306
floor1,6.5,3.8,0.25,6000,12,0.015,0.0995
floor1,6.5,3.8,0.25,6000,13,0.0114,0.0798
floor1,6.5,3.8,0.25,6000,14,0.0071,0.0673
floor1,6.5,3.8,0.25,6000,15,0.0049,0.0652
floor1,6.5,3.8,0.25,6000,16,0.004,0.0459
floor1,6.5,3.8,0.25,6000,17,0.0027,0.0311
rq4graded,6.5,3.8,0.25,6000,0,0.1397,1.481
rq4graded,6.5,3.8,0.25,6000,1,0.2576,1.2299
rq4graded,6.5,3.8,0.25,6000,2,0.1414,0.9806
rq4graded,6.5,3.8,0.25,6000,3,0.1004,0.8111
rq4graded,6.5,3.8,0.25,6000,4,0.0678,0.6724
rq4graded,6.5,3.8,0.25,6000,5,0.0582,0.5591
rq4graded,6.5,3.8,0.25,6000,6,0.0486,0.4574
rq4graded,6.5,3.8,0.25,6000,7,0.0379,0.3502
rq4graded,6.5,3.8,0.25,6000,8,0.0331,0.2738
rq4graded,6.5,3.8,0.25,6000,9,0.0263,0.2089
rq4graded,6.5,3.8,0.25,6000,10,0.0235,0.1568
rq4graded,6.5,3.8,0.25,6000,11,0.0192,0.1307
rq4graded,6.5,3.8,0.25,6000,12,0.0148,0.0983
rq4graded,6.5,3.8,0.25,6000,13,0.0114,0.08
rq4graded,6.5,3.8,0.25,6000,14,0.0069,0.0667
rq4graded,6.5,3.8,0.25,6000,15,0.0048,0.0659
rq4graded,6.5,3.8,0.25,6000,16,0.004,0.0459
rq4graded,6.5,3.8,0.25,6000,17,0.0029,0.0301
floor1,6.5,3.8,0.27,6000,0,0.4348,1.2689
floor1,6.5,3.8,0.27,6000,1,0.1256,0.9122
floor1,6.5,3.8,0.27,6000,2,0.075,0.7775
floor1,6.5,3.8,0.27,6000,3,0.0645,0.6664
floor1,6.5,3.8,0.27,6000,4,0.0578,0.558
floor1,6.5,3.8,0.27,6000,5,0.048,0.4566
floor1,6.5,3.8,0.27,6000,6,0.0371,0.3498
floor1,6.5,3.8,0.27,6000,7,0.0322,0.2814
