leg,config,n,weight,mean_KE_eV
s2,s2c1v65t32e25,19,0.0011,0.026
s2,s2c1v65t32e27,0,0.214,1.4229
s2,s2c1v65t32e27,1,0.2042,1.1635
s2,s2c1v65t32e27,2,0.1178,0.9638
s2,s2c1v65t32e27,3,0.0904,0.8209
s2,s2c1v65t32e27,4,0.0611,0.7101
s2,s2c1v65t32e27,5,0.0541,0.6052
s2,s2c1v65t32e27,6,0.0462,0.5096
s2,s2c1v65t32e27,7,0.0415,0.4075
s2,s2c1v65t32e27,8,0.035,0.3275
s2,s2c1v65t32e27,9,0.0281,0.2556
s2,s2c1v65t32e27,10,0.0262,0.1995
s2,s2c1v65t32e27,11,0.0192,0.1597
s2,s2c1v65t32e27,12,0.0166,0.124
s2,s2c1v65t32e27,13,0.0131,0.1046
s2,s2c1v65t32e27,14,0.0111,0.0888
s2,s2c1v65t32e27,15,0.0079,0.0711
s2,s2c1v65t32e27,16,0.0059,0.0576
s2,s2c1v65t32e27,17,0.004,0.0454
s2,s2c1v65t32e27,18,0.0021,0.0344
s2,s2c1v65t32e27,19,0.001,0.025
s2,s2c1v65t38e21,1,0.0783,1.5898
s2,s2c1v65t38e21,2,0.1871,1.3998
s2,s2c1v65t38e21,3,0.1536,1.1878
s2,s2c1v65t38e21,4,0.1033,1.0234
s2,s2c1v65t38e21,5,0.0936,0.884
s2,s2c1v65t38e21,6,0.0825,0.745
s2,s2c1v65t38e21,7,0.0669,0.6076
s2,s2c1v65t38e21,8,0.0574,0.476
s2,s2c1v65t38e21,9,0.0459,0.3654
s2,s2c1v65t38e21,10,0.0351,0.2631
s2,s2c1v65t38e21,11,0.0279,0.1979
s2,s2c1v65t38e21,12,0.0208,0.1467
s2,s2c1v65t38e21,13,0.0155,0.1161
s2,s2c1v65t38e21,14,0.0122,0.0945
s2,s2c1v65t38e21,15,0.0082,0.072
s2,s2c1v65t38e21,16,0.0059,0.0561
s2,s2c1v65t38e21,17,0.0037,0.0423
s2,s2c1v65t38e21,18,0.0012,0.0274
s2,s2c1v65t38e21,19,0.0009,0.0235
s2,s2c1v65t38e23,0,0.001,1.6708
s2,s2c1v65t38e23,1,0.2443,1.4428
s2,s2c1v65t38e23,2,0.1716,1.1737
s2,s2c1v65t38e23,3,0.126,0.9832
s2,s2c1v65t38e23,4,0.0864,0.8329
s2,s2c1v65t38e23,5,0.0747,0.7083
s2,s2c1v65t38e23,6,0.0633,0.5778
s2,s2c1v65t38e23,7,0.0515,0.4596
s2,s2c1v65t38e23,8,0.0436,0.352
s2,s2c1v65t38e23,9,0.0328,0.2682
s2,s2c1v65t38e23,10,0.0288,0.2009
s2,s2c1v65t38e23,11,0.0202,0.1526
s2,s2c1v65t38e23,12,0.0168,0.1193
s2,s2c1v65t38e23,13,0.0131,0.0957
s2,s2c1v65t38e23,14,0.0095,0.0795
s2,s2c1v65t38e23,15,0.0069,0.0647
s2,s2c1v65t38e23,16,0.0048,0.048
s2,s2c1v65t38e23,17,0.0028,0.0354
s2,s2c1v65t38e23,18,0.0012,0.0253
s2,s2c1v65t38e23,19,0.0006,0.0209
s2,s2c1v65t38e25,0,0.1397,1.4823
s2,s2c1v65t38e25,1,0.2558,1.229
s2,s2c1v65t38e25,2,0.1399,0.9806
s2,s2c1v65t38e25,3,0.1057,0.8085
s2,s2c1v65t38e25,4,0.0672,0.6735
s2,s2c1v65t38e25,5,0.059,0.5574
s2,s2c1v65t38e25,6,0.0473,0.4485
s2,s2c1v65t38e25,7,0.0416,0.3458
s2,s2c1v65t38e25,8,0.0326,0.2648
s2,s2c1v65t38e25,9,0.0272,0.2059
s2,s2c1v65t38e25,10,0.021,0.159
s2,s2c1v65t38e25,11,0.0169,0.1237
s2,s2c1v65t38e25,12,0.0134,0.1007
s2,s2c1v65t38e25,13,0.0115,0.0843
s2,s2c1v65t38e25,14,0.0077,0.0676
s2,s2c1v65t38e25,15,0.0058,0.0545
s2,s2c1v65t38e25,16,0.004,0.0436
s2,s2c1v65t38e25,17,0.0022,0.0331
s2,s2c1v65t38e25,18,0.0012,0.0221
s2,s2c1v65t38e27,0,0.3007,1.3601
s2,s2c1v65t38e27,1,0.2112,1.0388
s2,s2c1v65t38e27,2,0.1172,0.8175
s2,s2c1v65t38e27,3,0.0824,0.6636
s2,s2c1v65t38e27,4,0.0555,0.5397
s2,s2c1v65t38e27,5,0.0444,0.4364
s2,s2c1v65t38e27,6,0.0398,0.3394
s2,s2c1v65t38e27,7,0.0308,0.266
s2,s2c1v65t38e27,8,0.0261,0.2119
s2,s2c1v65t38e27,9,0.0218,0.1654
s2,s2c1v65t38e27,10,0.0165,0.1324
s2,s2c1v65t38e27,11,0.0144,0.1043
s2,s2c1v65t38e27,12,0.012,0.0891
s2,s2c1v65t38e27,13,0.0094,0.0718
s2,s2c1v65t38e27,14,0.0067,0.061
s2,s2c1v65t38e27,15,0.0051,0.0468
s2,s2c1v65t38e27,16,0.0034,0.0376
s2,s2c1v65t38e27,17,0.0016,0.0281
s2,s2c1v65t38e27,18,0.0009,0.0221
s2,s2c1v65t44e21,1,0.1213,1.5457
s2,s2c1v65t44e21,2,0.2116,1.319
s2,s2c1v65t44e21,3,0.1602,1.0825
s2,s2c1v65t44e21,4,0.1042,0.8999
s2,s2c1v65t44e21,5,0.0909,0.756
s2,s2c1v65t44e21,6,0.0737,0.6062
s2,s2c1v65t44e21,7,0.0608,0.4682
s2,s2c1v65t44e21,8,0.0475,0.3494
s2,s2c1v65t44e21,9,0.0355,0.2508
s2,s2c1v65t44e21,10,0.0275,0.1856
s2,s2c1v65t44e21,11,0.02,0.1372
s2,s2c1v65t44e21,12,0.0151,0.109
s2,s2c1v65t44e21,13,0.0121,0.0868
s2,s2c1v65t44e21,14,0.0077,0.0664
s2,s2c1v65t44e21,15,0.0058,0.0532
s2,s2c1v65t44e21,16,0.0036,0.0398
s2,s2c1v65t44e21,17,0.0016,0.025
s2,s2c1v65t44e21,18,0.0009,0.0236
s2,s2c1v65t44e23,0,0.0171,1.6237
s2,s2c1v65t44e23,1,0.2987,1.3755
s2,s2c1v65t44e23,2,0.1773,1.068
s2,s2c1v65t44e23,3,0.1274,0.8598
s2,s2c1v65t44e23,4,0.0818,0.7013
s2,s2c1v65t44e23,5,0.0673,0.5623
s2,s2c1v65t44e23,6,0.054,0.438
s2,s2c1v65t44e23,7,0.0439,0.329
s2,s2c1v65t44e23,8,0.0328,0.244
s2,s2c1v65t44e23,9,0.0271,0.1843
s2,s2c1v65t44e23,10,0.0196,0.1419
s2,s2c1v65t44e23,11,0.0158,0.1067
s2,s2c1v65t44e23,12,0.0129,0.0875
s2,s2c1v65t44e23,13,0.0087,0.0724
s2,s2c1v65t44e23,14,0.0065,0.0573
s2,s2c1v65t44e23,15,0.0046,0.0437
s2,s2c1v65t44e23,16,0.0027,0.0322
s2,s2c1v65t44e23,17,0.0011,0.0236
s2,s2c1v65t44e23,18,0.0007,0.0194
s2,s2c1v65t44e25,0,0.2048,1.43
s2,s2c1v65t44e25,1,0.2681,1.131
s2,s2c1v65t44e25,2,0.1408,0.8601
s2,s2c1v65t44e25,3,0.0986,0.677
s2,s2c1v65t44e25,4,0.0621,0.5311
s2,s2c1v65t44e25,5,0.0485,0.4153
s2,s2c1v65t44e25,6,0.0413,0.3146
s2,s2c1v65t44e25,7,0.0315,0.2387
s2,s2c1v65t44e25,8,0.0264,0.1846
s2,s2c1v65t44e25,9,0.0192,0.1434
s2,s2c1v65t44e25,10,0.016,0.1125
s2,s2c1v65t44e25,11,0.0129,0.0888
s2,s2c1v65t44e25,12,0.0103,0.0725
s2,s2c1v65t44e25,13,0.0069,0.0615
s2,s2c1v65t44e25,14,0.0055,0.0492
s2,s2c1v65t44e25,15,0.0036,0.0369
s2,s2c1v65t44e25,16,0.002,0.0279
s2,s2c1v65t44e25,17,0.0011,0.0221
s2,s2c1v65t44e27,0,0.3799,1.3051
s2,s2c1v65t44e27,1,0.2114,0.9253
s2,s2c1v65t44e27,2,0.1108,0.6879
s2,s2c1v65t44e27,3,0.076,0.5226
s2,s2c1v65t44e27,4,0.0444,0.3942
s2,s2c1v65t44e27,5,0.0393,0.3034
s2,s2c1v65t44e27,6,0.0301,0.2317
s2,s2c1v65t44e27,7,0.0248,0.1864
s2,s2c1v65t44e27,8,0.0195,0.1436
s2,s2c1v65t44e27,9,0.0151,0.1183
s2,s2c1v65t44e27,10,0.0132,0.093
s2,s2c1v65t44e27,11,0.0112,0.078
s2,s2c1v65t44e27,12,0.0082,0.0622
s2,s2c1v65t44e27,13,0.0058,0.0529
s2,s2c1v65t44e27,14,0.0046,0.0422
s2,s2c1v65t44e27,15,0.003,0.0314
s2,s2c1v65t44e27,16,0.0014,0.0227
s2,s2c1v65t44e27,17,0.001,0.0209
s2,s2c1v65t50e21,1,0.166,1.5058
s2,s2c1v65t50e21,2,0.2278,1.2431
s2,s2c1v65t50e21,3,0.1629,0.9881
s2,s2c1v65t50e21,4,0.1044,0.7946
s2,s2c1v65t50e21,5,0.0855,0.6328
s2,s2c1v65t50e21,6,0.0662,0.487
s2,s2c1v65t50e21,7,0.0523,0.3543
s2,s2c1v65t50e21,8,0.0368,0.256
s2,s2c1v65t50e21,9,0.0294,0.1834
s2,s2c1v65t50e21,10,0.0205,0.1348
s2,s2c1v65t50e21,11,0.0156,0.1047
s2,s2c1v65t50e21,12,0.0123,0.082
s2,s2c1v65t50e21,13,0.0081,0.0646
s2,s2c1v65t50e21,14,0.0058,0.0512
s2,s2c1v65t50e21,15,0.0036,0.0378
s2,s2c1v65t50e21,16,0.0017,0.0265
s2,s2c1v65t50e21,17,0.001,0.0206
s2,s2c1v65t50e23,0,0.0416,1.5845
s2,s2c1v65t50e23,1,0.3394,1.3092
s2,s2c1v65t50e23,2,0.179,0.9711
s2,s2c1v65t50e23,3,0.1242,0.7505
s2,s2c1v65t50e23,4,0.0758,0.5766
s2,s2c1v65t50e23,5,0.0583,0.4435
s2,s2c1v65t50e23,6,0.0474,0.3257
s2,s2c1v65t50e23,7,0.0341,0.2382
s2,s2c1v65t50e23,8,0.028,0.1767
s2,s2c1v65t50e23,9,0.0192,0.1358
s2,s2c1v65t50e23,10,0.0159,0.1019
s2,s2c1v65t50e23,11,0.0128,0.0833
s2,s2c1v65t50e23,12,0.0089,0.067
s2,s2c1v65t50e23,13,0.0063,0.0527
s2,s2c1v65t50e23,14,0.0045,0.0417
s2,s2c1v65t50e23,15,0.0026,0.0308
s2,s2c1v65t50e23,16,0.0013,0.0215
s2,s2c1v65t50e23,17,0.0007,0.0197
s2,s2c1v65t50e25,0,0.2682,1.3832
s2,s2c1v65t50e25,1,0.2743,1.0386
s2,s2c1v65t50e25,2,0.1374,0.7493
s2,s2c1v65t50e25,3,0.0908,0.5532
s2,s2c1v65t50e25,4,0.0515,0.408
s2,s2c1v65t50e25,5,0.0437,0.3024
s2,s2c1v65t50e25,6,0.0322,0.2256
s2,s2c1v65t50e25,7,0.0258,0.1743
s2,s2c1v65t50e25,8,0.0189,0.1344
s2,s2c1v65t50e25,9,0.0157,0.1032
s2,s2c1v65t50e25,10,0.0127,0.0846
s2,s2c1v65t50e25,11,0.01,0.0661
s2,s2c1v65t50e25,12,0.0069,0.0586
s2,s2c1v65t50e25,13,0.0052,0.0448
s2,s2c1v65t50e25,14,0.0035,0.0325
s2,s2c1v65t50e25,15,0.0018,0.0251
s2,s2c1v65t50e25,16,0.0011,0.021
s2,s2c1v65t50e27,0,0.4518,1.256
s2,s2c1v65t50e27,1,0.2099,0.8167
s2,s2c1v65t50e27,2,0.1005,0.5656
s2,s2c1v65t50e27,3,0.0639,0.3977
s2,s2c1v65t50e27,4,0.0396,0.2822
s2,s2c1v65t50e27,5,0.0304,0.2167
s2,s2c1v65t50e27,6,0.0243,0.1728
s2,s2c1v65t50e27,7,0.0191,0.1314
s2,s2c1v65t50e27,8,0.0146,0.1074
s2,s2c1v65t50e27,9,0.0129,0.0869
s2,s2c1v65t50e27,10,0.0103,0.0679
s2,s2c1v65t50e27,11,0.0076,0.0568
s2,s2c1v65t50e27,12,0.0056,0.0486
s2,s2c1v65t50e27,13,0.0042,0.0368
s2,s2c1v65t50e27,14,0.0027,0.0294
s2,s2c1v65t50e27,15,0.0013,0.0203
s2,s2c1v65t50e27,16,0.001,0.0198
s2,s2c1v85t32e21,1,0.0285,1.3512
s2,s2c1v85t32e21,2,0.1308,1.0752
s2,s2c1v85t32e21,3,0.1142,0.7488
s2,s2c1v85t32e21,4,0.0755,0.5433
s2,s2c1v85t32e21,5,0.0688,0.4304
s2,s2c1v85t32e21,6,0.0622,0.3561
s2,s2c1v85t32e21,7,0.059,0.3025
s2,s2c1v85t32e21,8,0.0548,0.2626
s2,s2c1v85t32e21,9,0.0544,0.2236
s2,s2c1v85t32e21,10,0.053,0.1951
s2,s2c1v85t32e21,11,0.0518,0.1627
s2,s2c1v85t32e21,12,0.0498,0.1357
s2,s2c1v85t32e21,13,0.0456,0.1233
s2,s2c1v85t32e21,14,0.0397,0.1098
s2,s2c1v85t32e21,15,0.0342,0.0971
s2,s2c1v85t32e21,16,0.0279,0.0875
s2,s2c1v85t32e21,17,0.0208,0.0801
s2,s2c1v85t32e21,18,0.0148,0.0678
s2,s2c1v85t32e21,19,0.0096,0.0513
s2,s2c1v85t32e21,20,0.004,0.0394
s2,s2c1v85t32e21,21,0.0006,0.019
s2,s2c1v85t32e23,1,0.1394,1.1343
s2,s2c1v85t32e23,2,0.1273,0.7672
s2,s2c1v85t32e23,3,0.0924,0.5214
s2,s2c1v85t32e23,4,0.0643,0.4063
s2,s2c1v85t32e23,5,0.0565,0.3434
s2,s2c1v85t32e23,6,0.0563,0.2947
s2,s2c1v85t32e23,7,0.0502,0.2568
s2,s2c1v85t32e23,8,0.0494,0.2265
s2,s2c1v85t32e23,9,0.0513,0.1952
s2,s2c1v85t32e23,10,0.0463,0.1718
s2,s2c1v85t32e23,11,0.0466,0.142
s2,s2c1v85t32e23,12,0.0449,0.1247
s2,s2c1v85t32e23,13,0.0405,0.1099
s2,s2c1v85t32e23,14,0.036,0.0995
s2,s2c1v85t32e23,15,0.0304,0.0911
s2,s2c1v85t32e23,16,0.0249,0.0815
s2,s2c1v85t32e23,17,0.0184,0.0747
s2,s2c1v85t32e23,18,0.0126,0.0619
s2,s2c1v85t32e23,19,0.0083,0.0461
s2,s2c1v85t32e23,20,0.0035,0.0375
s2,s2c1v85t32e25,0,0.0579,1.2437
s2,s2c1v85t32e25,1,0.1893,0.8847
s2,s2c1v85t32e25,2,0.1023,0.5366
s2,s2c1v85t32e25,3,0.0791,0.3974
s2,s2c1v85t32e25,4,0.052,0.3305
s2,s2c1v85t32e25,5,0.0529,0.2858
s2,s2c1v85t32e25,6,0.0471,0.2521
s2,s2c1v85t32e25,7,0.0457,0.2271
s2,s2c1v85t32e25,8,0.0475,0.1969
s2,s2c1v85t32e25,9,0.0433,0.1748
s2,s2c1v85t32e25,10,0.0426,0.151
s2,s2c1v85t32e25,11,0.0435,0.1312
s2,s2c1v85t32e25,12,0.0398,0.113
s2,s2c1v85t32e25,13,0.0376,0.0993
s2,s2c1v85t32e25,14,0.0327,0.0926
s2,s2c1v85t32e25,15,0.0264,0.0832
s2,s2c1v85t32e25,16,0.0227,0.0776
s2,s2c1v85t32e25,17,0.0158,0.068
s2,s2c1v85t32e25,18,0.0115,0.0578
s2,s2c1v85t32e25,19,0.0073,0.0441
s2,s2c1v85t32e25,20,0.003,0.0355
s2,s2c1v85t32e27,0,0.1706,1.0566
s2,s2c1v85t32e27,1,0.1585,0.6342
s2,s2c1v85t32e27,2,0.0873,0.4082
s2,s2c1v85t32e27,3,0.0649,0.3264
s2,s2c1v85t32e27,4,0.049,0.2778
s2,s2c1v85t32e27,5,0.045,0.2487
s2,s2c1v85t32e27,6,0.043,0.2254
s2,s2c1v85t32e27,7,0.0432,0.1997
s2,s2c1v85t32e27,8,0.0422,0.1749
s2,s2c1v85t32e27,9,0.0388,0.1587
s2,s2c1v85t32e27,10,0.0407,0.1359
s2,s2c1v85t32e27,11,0.0394,0.1181
s2,s2c1v85t32e27,12,0.0359,0.1031
s2,s2c1v85t32e27,13,0.0343,0.0919
s2,s2c1v85t32e27,14,0.029,0.0865
s2,s2c1v85t32e27,15,0.0242,0.0782
s2,s2c1v85t32e27,16,0.0199,0.0725
s2,s2c1v85t32e27,17,0.0143,0.0645
s2,s2c1v85t32e27,18,0.0105,0.0536
s2,s2c1v85t32e27,19,0.0065,0.042
s2,s2c1v85t32e27,20,0.0026,0.034
s2,s2c1v85t38e21,1,0.062,1.2699
s2,s2c1v85t38e21,2,0.1581,0.9347
s2,s2c1v85t38e21,3,0.1161,0.5993
s2,s2c1v85t38e21,4,0.0766,0.4302
s2,s2c1v85t38e21,5,0.0676,0.3515
s2,s2c1v85t38e21,6,0.0637,0.2929
s2,s2c1v85t38e21,7,0.0578,0.25
s2,s2c1v85t38e21,8,0.057,0.2133
s2,s2c1v85t38e21,9,0.0528,0.1855
s2,s2c1v85t38e21,10,0.0508,0.1535
s2,s2c1v85t38e21,11,0.0492,0.1309
s2,s2c1v85t38e21,12,0.0432,0.1134
s2,s2c1v85t38e21,13,0.0381,0.1007
s2,s2c1v85t38e21,14,0.032,0.0902
s2,s2c1v85t38e21,15,0.0265,0.0814
s2,s2c1v85t38e21,16,0.0189,0.0745
s2,s2c1v85t38e21,17,0.0135,0.0612
s2,s2c1v85t38e21,18,0.0096,0.0484
s2,s2c1v85t38e21,19,0.0047,0.0376
s2,s2c1v85t38e21,20,0.0015,0.0268
s2,s2c1v85t38e23,1,0.2008,1.0425
s2,s2c1v85t38e23,2,0.1307,0.6094
s2,s2c1v85t38e23,3,0.0941,0.4132
s2,s2c1v85t38e23,4,0.0619,0.3291
s2,s2c1v85t38e23,5,0.0589,0.2788
s2,s2c1v85t38e23,6,0.0533,0.2423
s2,s2c1v85t38e23,7,0.0518,0.2113
s2,s2c1v85t38e23,8,0.0505,0.1831
s2,s2c1v85t38e23,9,0.0465,0.158
s2,s2c1v85t38e23,10,0.0456,0.1343
s2,s2c1v85t38e23,11,0.0427,0.1153
s2,s2c1v85t38e23,12,0.0386,0.0999
s2,s2c1v85t38e23,13,0.0341,0.0906
s2,s2c1v85t38e23,14,0.0269,0.0821
s2,s2c1v85t38e23,15,0.0232,0.0742
s2,s2c1v85t38e23,16,0.0157,0.0682
s2,s2c1v85t38e23,17,0.0116,0.0563
s2,s2c1v85t38e23,18,0.0079,0.044
s2,s2c1v85t38e23,19,0.0041,0.036
s2,s2c1v85t38e23,20,0.0011,0.0232
s2,s2c1v85t38e25,0,0.1095,1.1506
s2,s2c1v85t38e25,1,0.2034,0.7308
s2,s2c1v85t38e25,2,0.1042,0.4198
s2,s2c1v85t38e25,3,0.0751,0.3208
s2,s2c1v85t38e25,4,0.0552,0.2681
s2,s2c1v85t38e25,5,0.0508,0.2362
s2,s2c1v85t38e25,6,0.0472,0.2071
s2,s2c1v85t38e25,7,0.0483,0.18
s2,s2c1v85t38e25,8,0.0424,0.1604
s2,s2c1v85t38e25,9,0.0428,0.1379
s2,s2c1v85t38e25,10,0.0406,0.1202
s2,s2c1v85t38e25,11,0.0378,0.1014
s2,s2c1v85t38e25,12,0.0351,0.0895
s2,s2c1v85t38e25,13,0.0294,0.0831
s2,s2c1v85t38e25,14,0.0239,0.0749
s2,s2c1v85t38e25,15,0.0197,0.0685
s2,s2c1v85t38e25,16,0.0135,0.0631
s2,s2c1v85t38e25,17,0.01,0.0512
s2,s2c1v85t38e25,18,0.0068,0.0424
s2,s2c1v85t38e25,19,0.0035,0.0335
s2,s2c1v85t38e25,20,0.0009,0.0218
s2,s2c1v85t38e27,0,0.2391,0.962
s2,s2c1v85t38e27,1,0.1571,0.4901
s2,s2c1v85t38e27,2,0.0854,0.3268
s2,s2c1v85t38e27,3,0.0676,0.2635
s2,s2c1v85t38e27,4,0.0478,0.2297
s2,s2c1v85t38e27,5,0.0435,0.2037
s2,s2c1v85t38e27,6,0.0452,0.1776
s2,s2c1v85t38e27,7,0.04,0.1605
s2,s2c1v85t38e27,8,0.0393,0.1408
s2,s2c1v85t38e27,9,0.0386,0.1236
s2,s2c1v85t38e27,10,0.0361,0.106
s2,s2c1v85t38e27,11,0.0342,0.092
s2,s2c1v85t38e27,12,0.0318,0.0831
s2,s2c1v85t38e27,13,0.0257,0.0759
s2,s2c1v85t38e27,14,0.0219,0.0693
s2,s2c1v85t38e27,15,0.0166,0.0644
s2,s2c1v85t38e27,16,0.0117,0.0572
s2,s2c1v85t38e27,17,0.0089,0.0469
s2,s2c1v85t38e27,18,0.0059,0.0391
s2,s2c1v85t38e27,19,0.0028,0.0328
s2,s2c1v85t38e27,20,0.0007,0.0198
s2,s2c1v85t44e21,1,0.0986,1.1999
s2,s2c1v85t44e21,2,0.1716,0.8148
s2,s2c1v85t44e21,3,0.1183,0.4956
s2,s2c1v85t44e21,4,0.0775,0.3654
s2,s2c1v85t44e21,5,0.07,0.2939
s2,s2c1v85t44e21,6,0.0623,0.2493
s2,s2c1v85t44e21,7,0.0601,0.21
s2,s2c1v85t44e21,8,0.0549,0.181
s2,s2c1v85t44e21,9,0.0507,0.1508
s2,s2c1v85t44e21,10,0.0491,0.1278
s2,s2c1v85t44e21,11,0.0433,0.1098
s2,s2c1v85t44e21,12,0.0384,0.0937
s2,s2c1v85t44e21,13,0.0313,0.0862
s2,s2c1v85t44e21,14,0.0258,0.0756
s2,s2c1v85t44e21,15,0.0181,0.0697
s2,s2c1v85t44e21,16,0.0128,0.0581
s2,s2c1v85t44e21,17,0.0096,0.0471
s2,s2c1v85t44e21,18,0.0051,0.0369
s2,s2c1v85t44e21,19,0.0022,0.0294
s2,s2c1v85t44e23,0,0.0093,1.3723
s2,s2c1v85t44e23,1,0.2453,0.9492
s2,s2c1v85t44e23,2,0.1317,0.4969
s2,s2c1v85t44e23,3,0.0929,0.3462
s2,s2c1v85t44e23,4,0.0644,0.276
s2,s2c1v85t44e23,5,0.0581,0.2363
s2,s2c1v85t44e23,6,0.0542,0.2041
s2,s2c1v85t44e23,7,0.052,0.1752
s2,s2c1v85t44e23,8,0.0464,0.1508
s2,s2c1v85t44e23,9,0.046,0.1296
s2,s2c1v85t44e23,10,0.0413,0.1103
s2,s2c1v85t44e23,11,0.0384,0.0927
s2,s2c1v85t44e23,12,0.0331,0.0851
s2,s2c1v85t44e23,13,0.026,0.0755
s2,s2c1v85t44e23,14,0.022,0.0688
s2,s2c1v85t44e23,15,0.0143,0.063
s2,s2c1v85t44e23,16,0.0109,0.053
s2,s2c1v85t44e23,17,0.0077,0.0426
s2,s2c1v85t44e23,18,0.0043,0.034
s2,s2c1v85t44e23,19,0.0016,0.0273
s2,s2c1v85t44e25,0,0.1628,1.0679
s2,s2c1v85t44e25,1,0.2074,0.6015
s2,s2c1v85t44e25,2,0.1026,0.3475
s2,s2c1v85t44e25,3,0.0778,0.2674
s2,s2c1v85t44e25,4,0.0539,0.2265
s2,s2c1v85t44e25,5,0.0496,0.1978
s2,s2c1v85t44e25,6,0.049,0.1691
s2,s2c1v85t44e25,7,0.043,0.1509
s2,s2c1v85t44e25,8,0.0428,0.1311
s2,s2c1v85t44e25,9,0.04,0.1123
s2,s2c1v85t44e25,10,0.0357,0.0943
s2,s2c1v85t44e25,11,0.0345,0.0828
s2,s2c1v85t44e25,12,0.0278,0.0766
s2,s2c1v85t44e25,13,0.0229,0.0691
s2,s2c1v85t44e25,14,0.0181,0.0625
s2,s2c1v85t44e25,15,0.0116,0.0577
s2,s2c1v85t44e25,16,0.0093,0.0458
s2,s2c1v85t44e25,17,0.0063,0.0402
s2,s2c1v85t44e25,18,0.0036,0.0325
s2,s2c1v85t44e25,19,0.0013,0.0243
s2,s2c1v85t44e27,0,0.2992,0.8828
s2,s2c1v85t44e27,1,0.1556,0.3942
s2,s2c1v85t44e27,2,0.0853,0.2719
s2,s2c1v85t44e27,3,0.0664,0.2217
s2,s2c1v85t44e27,4,0.0453,0.1929
s2,s2c1v85t44e27,5,0.0471,0.166
s2,s2c1v85t44e27,6,0.0399,0.1482
s2,s2c1v85t44e27,7,0.0405,0.1317
s2,s2c1v85t44e27,8,0.0375,0.1136
s2,s2c1v85t44e27,9,0.034,0.0973
s2,s2c1v85t44e27,10,0.0335,0.0853
s2,s2c1v85t44e27,11,0.0297,0.0746
s2,s2c1v85t44e27,12,0.0236,0.0689
s2,s2c1v85t44e27,13,0.0204,0.0627
s2,s2c1v85t44e27,14,0.0144,0.0588
s2,s2c1v85t44e27,15,0.0104,0.053
s2,s2c1v85t44e27,16,0.0082,0.0417
s2,s2c1v85t44e27,17,0.005,0.036
s2,s2c1v85t44e27,18,0.003,0.0309
