a,j0,w_j,P0_twin,P_strip0,P_surv1,P_surv2,twin_ratio,nbar_det,nbar_det_repsd,n1_solv,n1_solv_repsd,bin0,bin0_repsd,w1_solv,w1_solv_repsd,midHot,midHot_repsd,deepKE,deepKE_repsd,KE1_mean,KE1_mean_repsd,KE1_sd,KE1_sd_repsd,KE2_mean,KE2_mean_repsd,KE1_conv,KE1_conv_repsd,conv_n0_frac,conv_n0_frac_repsd
1.0,2.0,1.5,1.0,0.06794305553752494,0.2719678337639972,0.36931876200191394,0.24982018864952688,3.9075278386272356,0.020226460459315247,0.24203655665233756,0.005862188342565974,0.028614457831325307,0.004097422254184561,1.0249607768513795,0.019841477179938345,0.9291901998907441,0.010106421771817637,0.49258275674912105,0.02864394097299031,0.6516407526602664,0.004222585174738385,0.08991395507627187,0.0035753154784119393,0.6206735906145641,0.007046776168408799,0.7739921666226509,0.005903610591159201,0.0683632734530938,0.013365867047607297
1.0,2.0,2.0,1.0,0.050473714022616384,0.21148990759096084,0.3345569179966632,0.23865779032934642,4.0077126688572475,0.0184525695874028,0.2240782154227097,0.0055526373810392245,0.021187020810514785,0.0036800605450420134,1.0365742770625357,0.017682939675697493,0.9658547002139751,0.010000089457095558,0.49705216332135116,0.028230331562514185,0.6488154446699247,0.002980173061052083,0.08315342048717284,0.003180291036642634,0.6176456725117504,0.005846654971366126,0.774865451979963,0.007148932585905333,0.051334830339321354,0.012687336756975361
1.0,2.5,0.5,1.0,0.008813526714800441,0.20473186059477844,0.5669020699600608,0.04304912136877842,3.9596682183278573,0.01962454761688773,0.2235114685834112,0.005529050883149731,0.0036966046002190577,0.0015633264824659234,1.0884504012423553,0.017637265290074294,0.9121023673449414,0.007099608961532384,0.4970453070118334,0.026627911407921184,0.6503536526727386,0.0032828678520033685,0.07868839208693768,0.003801467893795052,0.6491420565276124,0.004429777997216756,0.7736747437830905,0.008194089283086124,0.008295908183632733,0.005427996553274589
1.0,2.5,1.0,1.0,0.030896141928610715,0.2190514128328321,0.41768180887718426,0.14104516163147934,3.9807069185834245,0.020639397222110143,0.22663146833951128,0.005244085134376718,0.012641474990872583,0.002882041230756704,1.0583195817852642,0.017157088139009277,0.9376075029553115,0.008254626355794237,0.501068959363722,0.03418905553631172,0.6501477200840909,0.0035057070369873644,0.08237618574426392,0.0038557444251001013,0.6295255493377594,0.0067264966646217545,0.7751660378093158,0.007240774426380766,0.030563872255489025,0.00958717328889829
1.0,2.5,1.5,1.0,0.033150164121768015,0.18519232249435014,0.350971324373573,0.17900398718083663,4.047588079591091,0.019697168440907648,0.21784103785586525,0.005949342295950424,0.013383077765607885,0.002857744987376104,1.0480460021131852,0.014959573923707892,0.9703573164182102,0.007013634336546372,0.501689528811405,0.021760197130396612,0.6484822765981157,0.002911721797364259,0.0790778238248307,0.004471373073620321,0.6212199007887218,0.0048126912461801934,0.7736413437909242,0.0072346530987417645,0.03068862275449102,0.008745341851644696
1.0,2.5,2.0,1.0,0.027400893042691322,0.14742214389149,0.2994447549147087,0.18586687399458615,4.124315443592552,0.018315521392397456,0.20851434713545058,0.004387045466733125,0.01183141657539248,0.0030265562143629706,1.0352908298569063,0.014528571390765686,1.0066785132091614,0.007862630581528623,0.49272617013623354,0.0221945143738615,0.6463327915524094,0.0033274933017581874,0.07343241690669722,0.003987236832780551,0.6145066414044109,0.006555598535636205,0.7732429598959513,0.009519699906314068,0.028068862275449104,0.009194518190681553
1.0,3.0,0.5,1.0,0.0009245839968362689,0.05838167650285265,0.43943399723804466,0.015836886712067816,4.12810332238043,0.016523401258676334,0.18495758778077287,0.0029614796695012634,0.0003194596568090544,0.00037183164572086804,1.1156391127853424,0.014214528686864519,0.9574518316150821,0.006242358945692402,0.5016674383265047,0.040019495167684056,0.6423881017605119,0.001992783068439522,0.05544411168746877,0.0040225513842074385,0.6366929087295726,0.004074476801196301,0.7754660803933037,0.015154131490273672,0.001122754491017964,0.0017054520996595177
1.0,3.0,1.0,1.0,0.009553029235101141,0.1116683643546988,0.3510564027056637,0.08554821493361621,4.12837714494341,0.018776521069640617,0.19926451674480386,0.004251213731301246,0.003913380795910916,0.0013973211305368656,1.0804217275158767,0.015553621298752781,0.9790131041991814,0.00788894282051388,0.5045333349456295,0.028325341733549877,0.6455323024485731,0.002996693027525334,0.06755462463112209,0.0049553766490331224,0.6228982480536124,0.0058585875397945885,0.7753909240394963,0.010991019842147122,0.008982035928143712,0.004863125158362165
1.0,3.0,1.5,1.0,0.014173545468643774,0.11050466794115937,0.2922766409433752,0.1282619615326186,4.176786692223439,0.018257824332491776,0.1984712065328208,0.003482774529454453,0.005795910916392844,0.002097828184060044,1.0523725540201816,0.012832290857932848,1.014656154846989,0.010500407305909563,0.5060736913073819,0.03789743054639632,0.6449249684080711,0.002534232062790246,0.06695533030221304,0.0038192507723669947,0.6142461195397392,0.005679654030743467,0.7741971756958078,0.009769282372440732,0.014283932135728544,0.006601276246870125
1.0,3.0,2.0,1.0,0.013575488465163333,0.09378364126212566,0.2445990122547958,0.1447532670140178,4.249338262139467,0.016244585039279398,0.19403960105024298,0.004242856882707878,0.00589859437751004,0.0016803382428039915,1.0505564806646708,0.012330640499939394,1.0585376961477573,0.011170696443828565,0.5043173280801682,0.034968534576644755,0.6437554253212573,0.0026966877438205604,0.06427999429557546,0.004105847472025904,0.605532374099433,0.004545387869310412,0.7750928979100581,0.011404875118626485,0.013348303393213573,0.00714832796702099
