leg,ladder,v_c,p_tail,E_bind_tag,E_bind_eV,ebind_exception,tau_ps,tau_flag,E0_eV,m,det_yield,trapped_frac,suppressed_frac,nbar_det,pred_md_nbar,n1_solv,w1_solv,midhot_geo,deepke,n1_ke_eV,S_measured,S_provisional,gate_n1,gate_nbar,gate,pareto
g4scan,rq4graded,5.75,-1.0,eb154,0.154,1,4.8,0,0.385,20000,0.8749,0.1251,0.17,4.436,3.96,0.2089,0.7443,0.6742,0.5575,0.4943,19.4288,8.3047,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb154,0.154,1,4.8,0,0.355,20000,0.9614,0.0386,0.0907,4.396,3.93,0.2064,0.6416,1.4907,0.8888,0.7829,19.4807,4.8236,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb0482,0.0482,1,5.6,0,0.355,20000,0.9818,0.0182,0.1742,4.969,4.367,0.2208,1.1286,0.6829,0.7942,0.5271,19.5009,6.3545,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb154,0.154,1,4.4,0,0.385,20000,0.9614,0.0386,0.1384,4.359,3.902,0.2079,0.5852,1.495,1.0362,0.7544,19.5134,4.1563,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb0482,0.0482,1,4.8,0,0.375,20000,0.9945,0.0055,0.1854,4.129,3.726,0.2374,0.3145,1.5132,1.2984,0.7794,19.603,5.383,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb1168,0.11675778353879479,0,6.4,0,0.31,20000,0.9113,0.0887,0.0553,4.528,4.03,0.2177,0.5401,0.6649,0.4492,0.5915,19.7096,9.5922,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb0482,0.0482,1,4.4,0,0.41,20000,0.9945,0.0055,0.2461,4.057,3.672,0.2293,0.4932,1.5079,1.4248,0.7472,19.752,6.3356,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb154,0.154,1,4.4,0,0.42,20000,0.8749,0.1251,0.2165,4.441,3.964,0.2009,0.9545,0.6737,0.6081,0.4653,19.8207,8.0567,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb0482,0.0482,1,6.0,0,0.31,20000,0.9945,0.0055,0.0485,4.297,3.855,0.225,0.6321,1.5044,1.0004,0.8653,19.8849,4.0324,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb1168,0.11675778353879479,0,4.8,0,0.36,20000,0.9732,0.0268,0.1128,4.343,3.89,0.2159,0.5221,1.5135,1.0349,0.7881,19.9724,4.1249,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb154,0.154,1,5.2,0,0.33,20000,0.9614,0.0386,0.0467,4.493,4.004,0.1918,0.7548,1.5012,0.7784,0.8158,19.9979,6.0208,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb1168,0.11675778353879479,0,5.6,0,0.345,20000,0.9113,0.0887,0.1288,4.486,3.998,0.2236,0.5183,0.6595,0.5127,0.533,20.0469,8.6655,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb1168,0.11675778353879479,0,4.8,0,0.395,20000,0.9113,0.0887,0.208,4.54,4.04,0.2097,0.9216,0.6687,0.6105,0.4818,20.11,8.0244,1,1,1,0
g4scan,rq4graded,5.75,-1.0,eb154,0.154,1,5.2,0,0.36,20000,0.8749,0.1251,0.1364,4.367,3.908,0.2171,0.636,0.6612,0.5178,0.5148,20.1347,8.7836,1,1,1,0
g4scan,rq4graded,5.25,-1.0,eb1168,0.11675778353879479,0,5.2,0,0.335,20000,0.9732,0.0268,0.0674,4.411,3.941,0.2078,0.6295,1.5155,0.9123,0.8186,20.2175,4.734,1,1,1,0
