tau_ps,tau_flag,E0_eV,n1_solv_f100,nbar_f100,strip_le8_f100,gate_f100,f_gate_lo,f_gate_hi,n1_solv_f025,nbar_f025,gate_f025,n1_ok_fge025,gate_ok_fge025
9.6,1,0.46,0.2818,1.317,0.9923,0,nan,nan,nan,0.0,0,1,0
9.6,1,0.47,0.2919,1.196,0.9945,0,nan,nan,nan,0.0,0,1,0
9.6,1,0.48,0.2991,1.088,0.9959,0,nan,nan,nan,0.0,0,1,0
9.6,1,0.49,0.3118,0.988,0.9971,0,nan,nan,nan,0.0,0,0,0
9.6,1,0.5,0.3216,0.894,0.9977,0,nan,nan,nan,0.0,0,0,0
9.6,1,0.51,0.3318,0.811,0.9982,0,nan,nan,nan,0.0,0,0,0
9.6,1,0.52,0.3364,0.734,0.9987,0,nan,nan,nan,0.0,0,0,0
12.8,1,0.17,0.0,10.223,0.2256,0,nan,nan,0.0,4.852,0,0,0
12.8,1,0.18,0.0,9.594,0.343,0,nan,nan,0.0,3.923,0,0,0
12.8,1,0.19,0.0,8.973,0.4466,0,nan,nan,0.0,3.117,0,0,0
12.8,1,0.2,0.0,8.346,0.5411,0,nan,nan,0.042,2.432,0,0,0
12.8,1,0.21,0.0,7.72,0.6208,0,nan,nan,0.3999,1.754,0,1,0
12.8,1,0.22,0.0001,7.105,0.6878,0,nan,nan,0.7024,1.302,0,1,0
12.8,1,0.23,0.002,6.501,0.7466,0,nan,nan,0.8522,0.805,0,1,0
12.8,1,0.24,0.0145,5.915,0.7968,0,nan,nan,0.9672,0.4,0,1,0
12.8,1,0.25,0.047,5.352,0.8393,0,nan,nan,0.9967,0.178,0,1,0
12.8,1,0.26,0.0992,4.816,0.8757,0,nan,nan,1.0,0.053,0,1,0
12.8,1,0.27,0.1522,4.31,0.9049,0,nan,nan,1.0,0.004,0,1,0
12.8,1,0.28,0.1968,3.829,0.9307,0,nan,nan,1.0,0.0,0,1,0
12.8,1,0.29,0.2297,3.386,0.9521,0,nan,nan,nan,0.0,0,1,0
12.8,1,0.3,0.2538,2.976,0.9697,0,nan,nan,nan,0.0,0,1,0
12.8,1,0.31,0.2715,2.607,0.9822,0,nan,nan,nan,0.0,0,1,0
12.8,1,0.32,0.2889,2.274,0.9901,0,nan,nan,nan,0.0,0,1,0
12.8,1,0.33,0.3049,1.98,0.9947,0,nan,nan,nan,0.0,0,0,0
12.8,1,0.34,0.3181,1.72,0.9971,0,nan,nan,nan,0.0,0,0,0
12.8,1,0.35,0.3323,1.49,0.9981,0,nan,nan,nan,0.0,0,0,0
12.8,1,0.36,0.3407,1.283,0.9988,0,nan,nan,nan,0.0,0,0,0
12.8,1,0.37,0.3558,1.104,0.9993,0,nan,nan,nan,0.0,0,0,0
12.8,1,0.38,0.3731,0.949,0.9995,0,nan,nan,nan,0.0,0,0,0
12.8,1,0.39,0.3918,0.811,0.9998,0,nan,nan,nan,0.0,0,0,0
12.8,1,0.4,0.4115,0.693,0.9999,0,nan,nan,nan,0.0,0,0,0
12.8,1,0.41,0.4286,0.587,1.0,0,nan,nan,nan,0.0,0,0,0
12.8,1,0.42,0.4535,0.496,1.0,0,nan,nan,nan,0.0,0,0,0
12.8,1,0.43,0.4699,0.418,1.0,0,nan,nan,nan,0.0,0,0,0
12.8,1,0.44,0.4926,0.35,1.0,0,nan,nan,nan,0.0,0,0,0
12.8,1,0.45,0.5199,0.292,1.0,0,nan,nan,nan,0.0,0,0,0
12.8,1,0.46,0.5477,0.242,1.0,0,nan,nan,nan,0.0,0,0,0
12.8,1,0.47,0.5835,0.199,1.0,0,nan,nan,nan,0.0,0,0,0
12.8,1,0.48,0.633,0.163,1.0,0,nan,nan,nan,0.0,0,0,0
12.8,1,0.49,0.6783,0.133,1.0,0,nan,nan,nan,0.0,0,0,0
12.8,1,0.5,0.7223,0.107,1.0,0,nan,nan,nan,0.0,0,0,0
12.8,1,0.51,0.7651,0.085,1.0,0,nan,nan,nan,0.0,0,0,0
12.8,1,0.52,0.7995,0.067,1.0,0,nan,nan,nan,0.0,0,0,0
